id	fc
slc25a21	0.11421052631578947
dmrta2	0.6525
cd2(2of2)	-1.91
bsx	-0.784
foxd3	-1.1921428571428572
trim13	-1.62
foxb1(2of3)	-0.9744444444444444
LOC107394631	-1.5200000000000002
evx1(1of2)	-0.8533333333333334
skor1(2of2)	-0.4600000000000001
hoxc10	-1.57
hoxb9(2of2)	-1.19
LOC107383375	-1.69
foxa2(2of2)	-0.77
tal1(2of2)	-0.3566666666666667
hoxd11	-1.62
LOC107379506	-0.8450000000000001
cbx8(1of2)	-1.62
nr4a3	-2.3660000000000005
nkx2-4	-0.033333333333333375
nkx2-1(1of2)	0.11666666666666664
barhl2	-0.383
hoxb8	-0.614
tbr1(2of2)	-1.61
bhlhe41	-1.66
runx3	-0.8634615384615386
pcdh8(3of3)	-0.9261538461538462
gata3(1of2)	-0.5335922330097086
cdx4(2of2)	-0.765
lmx1a(1of4)	-0.8
otx2(1of4)	-0.38333333333333336
foxe1(2of2)	-1.17
nkx2-2(2of2)	-0.7266666666666666
ube2h(1of2)	-1.52
prdm14	-1.49
osr2	-0.235
ihh(1of2)	-1.66
olig3(1of2)	-0.6275000000000001
pax9	0.15846153846153846
LOC107393534	-1.625
evx2	-1.46
hoxa1	-0.6066666666666667
esrrg(4of4)	0.11944444444444444
fgf8(2of2)	-0.5725
hand1	-1.55
pax1	-0.633529411764706
nrxn3(2of2)	-0.7220000000000001
hbg2(2of4)	-1.45
msx2(1of3)	-1.225
pitx2(2of2)	0.37166666666666665
foxl1(2of2)	-1.58
LOC107392599	-1.57
slc17a6(1of2)	0.7374999999999998
hoxb6(1of2)	-0.57
prdm13	-0.1257142857142858
LOC107372792	-1.68
nrn1(1of2)	-1.49
hoxb3(1of2)	-1.268888888888889
egr2(1of2)	-1.61
tbx5(2of2)	-1.1575
foxb1(3of3)	-1.68
hmx3(1of3)	-1.54
slc32a1(1of3)	-1.185
sox1(1of2)	-0.1688235294117646
foxl2(1of2)	-1.43
lhx5	-0.96
bmi1	-1.475
tbx5(1of2)	-0.15666666666666662
LOC107379263	-1.375
hoxc13	-1.54
nkx2-2(1of2)	-0.9650000000000001
nkx2-8	-1.51
erf(3of4)	-1.3076923076923077
LOC107381314	-1.203
foxb1(1of3)	-0.18000000000000002
tbx3	-1.1966666666666665
scg2(1of2)	-0.665
otx1(1of2)	-0.72
gata2(1of3)	-0.725
fli1(2of2)	-0.1666666666666667
insm1	-0.009333333333333376
dapp1	-1.44
nfix(2of3)	-0.755294117647059
fezf2	-0.5683333333333332
atoh1(1of2)	-0.9175
hoxc4(2of3)	-1.66
hoxc11(1of2)	-1.5
pax6(2of4)	-1.1512499999999999
shh(1of2)	0.041111111111111126
wnt5b	-1.2999999999999998
nol4l(1of2)	-0.625
nr2f1	-0.3816666666666666
r3hdm1(1of2)	-0.595
hoxb4	-1.4566666666666668
onecut2(3of4)	-1.02
flt1(2of2)	-0.845
sp9	-1.55
tbr1(1of2)	-0.43545454545454537
foxg1(3of3)	-1.45
nkx2-3(1of2)	-1.2149999999999999
hoxa2b	-1.5750000000000002
ebf3(3of3)	-0.2766666666666667
bhlhe22	-1.1363157894736844
fam84b(2of2)	-1.8199999999999998
gdf6	-0.6545
isl1	-0.30250000000000005
hoxd4(2of2)	-1.2366666666666666
pax2(1of2)	-1.2600000000000002
pou2f2(2of2)	-1.676923076923077
LOC107382308	-0.73
onecut2(2of4)	-0.79
nr5a2(1of4)	-1.1003846153846153
sox1(2of2)	-0.967692307692308
anxa2(2of3)	-1.085
nkx3-2(2of2)	-1.36
LOC107389770	-1.3933333333333333
isl2(1of2)	-0.7770833333333336
zic3	-0.8142857142857143
shisa7(2of2)	-0.9650000000000001
gpr55	-1.41
nfib	-0.9874999999999999
tfap2a	-1.192
nkx2-6	-0.825
ppara(1of2)	-0.8925000000000001
hmx2(1of3)	-1.125
nr4a2(2of2)	-0.39888888888888885
tlx3(2of3)	0.23416666666666663
pdyn	-1.47
six3(2of3)	-0.6053846153846154
fos(4of4)	-0.9650000000000001
cdkn1b(1of3)	-3.45
hoxa13(1of2)	-1.6
mnx1(2of2)	-1.47
gata6	-0.8549999999999999
fam83d	-0.2700000000000001
neurod6	-0.03999999999999998
uts2r(2of4)	-0.92
hoxb6(2of2)	-1.1175
hlx	-0.6014285714285714
calb2(1of2)	-0.05666666666666664
dscaml1(2of2)	-0.9640000000000001
ntn1(2of4)	-1.213
pax2(2of2)	-0.9294117647058824
en2	-0.865
nfix(3of3)	-1.36625
apcs(1of2)	0.545
insm2	-1.63
dlx1(2of2)	-0.33571428571428574
foxl2(2of2)	-0.43866666666666665
pax5	-0.7849999999999999
kcnj11(1of2)	-3.69
grem1(1of2)	-2.263333333333333
adamts15(1of2)	-1.7
pdx1	-1.3
bcl11a(1of2)	0.10875000000000004
otp(1of2)	-1.4016666666666666
ralgapa2	-1.2979999999999998
kctd12(2of2)	-1.53
hoxa13(2of2)	-0.265
rp11-766f14.2(3of3)	-0.31
LOC107394883	-1.3277777777777777
gsx1	-0.8025000000000001
ccnh	-1.3
irx1(3of4)	-0.5114285714285713
uncx(1of3)	-0.8407692307692307
neurod2(1of2)	0.003333333333333327
kcnf1(1of2)	-1.48
dlx5	-1.45
ptprd(2of5)	0.21750000000000005
gfi1(2of4)	-1.39
dmbx1(2of3)	-0.7163636363636363
fgf5	-0.2425
alx1	-1.137
hes2(2of3)	-1.505
tmed10	-1.51
LOC107379752	-0.46
nhlh2	-0.41857142857142865
efemp1	-1.44
hoxc4(3of3)	-0.31799999999999995
h2afy	-0.61
fgf14(2of3)	-0.05076923076923078
LOC107394305	-1.48
lhx8(1of2)	0.238
cidec	-1.55
mafb(3of3)	-0.89
zfhx3(2of2)	-0.37818181818181834
gsc	-0.018000000000000016
helt	-1.36
zfp148(1of2)	-1.43
bcl11b(2of4)	-1.2550000000000001
gata2(2of3)	-1.1466666666666667
pou4f3(2of3)	-0.23555555555555552
nkx2-5	-0.9466666666666667
six3(1of3)	-0.17200000000000001
adrb1(1of2)	-1.43
notum(2of2)	-2.82
prdm12(2of2)	-1.3
foxd1(1of3)	-1.43
dmrta1	-0.016666666666666687
mafa	-0.895
igf1(2of2)	1.595
znf488	-0.87
tfap2b	-0.3972727272727273
tlx3(1of3)	-0.7899999999999998
ptk2b(1of2)	-1.93
shox2(1of2)	-1.45
otp(2of2)	0.0475
fgf20(2of2)	-0.75
ovol1	-1.57
gad2	-0.3883333333333334
paxip1	-0.42600000000000005
slc32a1(2of3)	-1.3
nr2f2(1of3)	-1.7275
ctnnb1(1of2)	-1.4409090909090907
lmx1b(1of2)	-0.91
tbca	-0.7658333333333333
dll4(1of2)	-1.2026666666666663
rassf10(1of2)	-0.605
gxylt1(2of2)	0.58
wnt1	-1.02
prox1(3of5)	-1.0581818181818183
tbx2(2of2)	-0.164
atp2b3(2of2)	-0.5820000000000001
sall1(2of3)	-1.1664583333333336
b3gnt7(2of2)	-1.72
LOC107375874	-0.6140000000000001
mafb(1of3)b(1of3)	-0.5504347826086956
gadd45g(2of3)	-0.8112
sox14(1of2)	-0.7179999999999999
dlx6(1of2)	-1.08
vax2	-0.32749999999999996
dbx1(2of2)	-0.6841176470588236
otx2(4of4)	-0.73
scn8a(1of2)	-0.68
phox2a	-0.748
snap29	-1.6
pitx2(1of2)	-0.21399999999999994
lhx6(1of2)	0.26399999999999996
drd5(2of4)	-0.5399999999999999
emx1(2of2)	0.7642857142857142
emx1(1of2)	-0.44200000000000006
hoxb13	-1.24
ebf1(2of2)	-0.958888888888889
pgr	-1.54
rspo2(2of2)	-0.578
ina(1of2)	-1.08
zic4(2of2)	-0.9875
tfap2c(1of2)	-1.6600000000000001
nkx6-1	-0.31000000000000016
phox2b	-0.26818181818181813
lhx2	0.07750000000000003
cacna2d3(1of4)	-1.3166666666666667
sp8(2of2)	-0.445
pde4a	-0.544
irf4(2of3)	-0.8024999999999998
grin1(2of2)	-0.8566666666666666
slc24a4	-0.5680000000000001
foxd1(2of3)	-1.1707692307692308
tbx1(2of2)	-0.91
barhl1(2of2)	-0.29833333333333334
nkx2-3(2of2)	-1.1766666666666665
shf	-1.2633333333333334
kcnf1(2of2)	-1.54
mpped2	-1.1364285714285713
neurod2(2of2)	-0.6525000000000002
onecut2(4of4)	-1.352
barx1	0.01166666666666657
pax8	-0.585
adamts5	-0.8
sp8(1of2)	-1.1
rhbdl3	-1.4816666666666667
LOC107390705	-0.636
cebpb	-1.35
kctd16(1of2)	-1.44
hprt1(1of2)	-1.42
pax3(2of2)	-1.56
satb1(1of2)	-1.2766666666666666
kcng3(1of2)	-1.58
nxph1(4of4)	-0.4864285714285715
and3	-3.85
tgfb2	-1.58
egr3	-0.21333333333333337
ghsr(3of4)	-1.32
LOC107384734	-2.0
cyp26b1	-1.1785714285714286
sv2a(2of2)	-0.2733333333333334
tfap2d	-0.5166666666666667
dmrt3	-0.5775
cxxc4(1of2)	-1.0975
immp1l	-0.7575000000000001
urm1	-1.17
gpnmb	-1.38
LOC107395020	-1.52
LOC107383025	-1.0043243243243243
en1(2of2)	-0.645
six6	-1.3375
neurog1	-1.6
LOC107388972	-1.52
nptx1(2of2)	-0.47
sox21	-1.0621428571428573
pcdhgc5(4of5)	-0.26842105263157895
pou3f2(2of2)	-0.8399999999999999
lbx1(2of3)	-0.16466666666666668
hecw2(1of2)	-0.4333333333333333
foxc1(2of2)	-0.7270833333333333
avpr1b	-1.41
zfp46(2of3)	-1.34
eomes(2of2)	-1.4942857142857142
kcna5	-1.73
tnfrsf19	-1.81
fut5	-1.21
LOC107386638	-1.36
inafm1	0.21666666666666667
ar(1of2)	-0.784
wnt9b	-0.7799999999999999
ksr2	-1.36
hunk(1of2)	-1.8066666666666666
actc1(4of5)	-1.43
vsx2(1of2)	-0.435
gadd45gip1	-0.45899999999999996
shisa2	-0.66
foxa2(1of2)	-0.23199999999999998
ppp1r3a(1of4)	1.18
kctd1(1of2)	-1.34
lox(1of4)	-0.3166666666666667
egr1(1of4)	-1.4
junb(1of2)	-1.6625
btbd11(2of2)	-3.365
cadm4(1of4)	0.3427272727272727
shox2(2of2)	0.6163636363636363
hoxa10-hoxa9	-0.1200000000000001
crygb(7of19)	-1.2699999999999998
pcdh10(1of10)	-1.4
pou3f3(2of2)	-0.51
maneal(1of2)	-1.5
fgfrl1(2of2)	-1.8066666666666666
foxf2(2of2)	-1.26
tespa1	-1.45
rdh10	0.03666666666666666
LOC107384216	-0.6876923076923078
onecut1	-0.36000000000000004
sox17(2of3)	-1.27
apba2(2of2)	-1.623333333333333
pou3f4(3of3)	0.405
ebf1(1of2)	-0.7316666666666667
pou3f2(1of2)	-1.3966666666666667
dlx1(1of2)	-1.1255555555555552
uncx(2of3)	-0.43833333333333324
htr1b(1of2)	1.9166666666666667
rassf10(2of2)	-1.4
plxnd1	-0.8966666666666666
msx1	-1.0890909090909089
rhcg(2of4)	-0.13999999999999999
irx1(1of4)	-0.7751515151515153
runx2(1of2)	-1.3435714285714284
edn1	-1.86
emx2	-0.6164285714285713
lrrc52(1of2)	0.11333333333333333
fgf18(2of2)	-1.755
LOC107375720	-1.115
socs7(1of2)	-0.6266666666666666
dcc(1of2)	-0.9096666666666668
rgs9bp(2of3)	-1.32
sntg2	-0.8250000000000001
hey1(1of2)	-0.9306666666666664
gfi1(3of4)	-0.6533333333333333
gbx1	-0.7974999999999999
tmem132d(2of7)	-0.9175000000000001
aldh1a2	0.12199999999999997
csprs(1of2)	-1.34
LOC107378777	-0.49249999999999994
slc6a15(1of3)	-0.49000000000000005
LOC107381253	-0.6381249999999999
mstn(1of2)	-1.71
trabd2b(1of2)	-0.2616666666666667
il17re(2of2)	-2.11
dlx3(2of2)	-0.895
xkr6(2of2)	-0.47250000000000014
hpse2	-0.6333333333333333
nlgn1(1of2)	-0.9699999999999999
dmbt1(3of3)	-0.8380000000000001
nhs(2of3)	-0.505
cbx8(2of2)	-1.28
nkx6-2	-0.9636363636363637
nop9	-0.51
lcor	-0.3766666666666667
LOC107374626	0.76
tcf24	-1.24
maf(1of2)	-0.37333333333333335
nr0b1	-0.21000000000000002
zfp703(2of2)	-1.0844444444444443
t(1of2)	-0.5
bdnf	-1.26
stmn2(2of2)	-0.825
ppara(2of2)	0.39437500000000003
adcyap1(1of2)	-1.18
cdc37l1	-1.3
ptf1a(1of2)	-0.625
fam189b	-1.5
arx	-1.2255555555555557
hoxb1(1of3)	0.022499999999999992
alx4(2of2)	0.5592307692307692
tbx15	-0.4891666666666665
mef2c(3of3)	-0.5225
cdh6	-1.6884615384615385
pgm5	-0.49666666666666665
hes1(1of3)	-1.4045454545454545
pax7	-0.75
sp5(1of2)	-0.9488888888888888
mgll	-1.34
nefh(4of6)	-1.3
rp11-766f14.2(1of3)	-0.6999999999999998
cdx2	0.48333333333333334
tlx1	0.0050000000000000044
dll1(3of5)	0.0059999999999999915
wnt6	-1.38
isl2(2of2)	-0.6855555555555555
adra1d	-1.34
jag2(1of2)	-0.46451612903225814
serp2(2of2)	-0.9275
dnm1(1of3)	-0.13
hs6st3(2of2)	-1.26
nyap1	-1.45
cdkn2c	-1.18
nfkbid	-0.8879999999999999
gdf5	0.2466666666666666
tbx22	0.4633333333333333
pitx1	-0.3725000000000001
ina(2of2)	-0.32666666666666666
tbx18	-0.8341666666666666
tnfsf10(3of3)	-0.885
wnk2(2of2)	-0.23
pura(1of2)	-1.31
frmpd2	-0.47400000000000003
fam78a	-1.27
klf2(2of2)	1.1957142857142855
krt17(5of5)	0.15500000000000003
pcdh10(5of10)	-0.6966666666666667
avpr1a(4of4)	-1.36
six1(1of2)	-0.965
glis1(2of2)	-1.2
pdgfra	-1.44
fam78b(2of2)	-1.3333333333333333
LOC107393870	-1.012
klf2(1of2)	-1.117
alk(1of2)	-0.5271428571428571
grin2a(2of2)	-0.75
synm	0.29500000000000004
hcn4(2of4)	0.385
htr1b(2of2)	-0.6575
esyt1(2of2)	-1.34
foxo3(1of4)	-0.812
slc25a42(2of2)	-1.1
tmem132c(2of2)	-0.4375
irx6	-0.6178124999999999
LOC107379134	-1.27
galr1(1of4)	-0.6116666666666667
mocs1	-1.1099999999999999
npy2r(2of3)	-0.44857142857142857
lhx4	-0.6933333333333334
metrnl(1of3)	-1.5099999999999998
sowahb	-1.64
hmx3(2of3)	-0.8066666666666666
lhx6(2of2)	-0.39499999999999996
gata4	-0.68
bcl11b(1of4)	-0.985
fgfbp1(1of3)	-1.48
galr1(4of4)	1.0299999999999998
mdga1	-0.04285714285714286
rims2(3of4)	-1.44
LOC107397317	-1.32
bmp2(2of2)	-1.2349999999999999
cyp26c1	-0.4959999999999999
slc9a3r1(2of2)	-2.92
wdr7(2of2)	-1.5914285714285719
olig1	-1.144
prdm12(1of2)	-1.3016666666666665
LOC107388377	-0.11199999999999988
LOC107392562	-0.36749999999999994
nrp2(2of2)	-0.281
LOC107375876	-0.84
or14j1	-1.17
snrnp200	-1.1033333333333333
rftn1(1of2)	-1.1708333333333332
slc22a13(6of6)	-0.01400000000000003
irx5	-0.8791304347826087
LOC107395719	-0.7233333333333333
cebpa	-0.8049999999999999
pou3f4(2of3)	-1.2333333333333332
chrdl2	-0.25333333333333335
calu(2of2)	-1.4200000000000002
pcdhgc5(3of5)	-1.12
fam20c(1of6)	0.30400000000000005
rspo3(2of2)	-0.5725
nr4a2(1of2)	-0.865
gpr37(2of2)	-0.010000000000000009
efna3(1of2)	-0.649
dll1(1of5)	-0.7474999999999998
twist2(4of5)	-1.3
diaph3(1of4)	-0.9400000000000001
bcl11b(4of4)	-0.5125
pld6	1.094285714285714
tnik(1of3)	-0.5275000000000001
igfbp5(1of2)	-1.38
hes7(1of2)	-0.93
dmrt2(2of2)	-0.138
hes6(1of2)	-1.28
inhbb(2of3)	-1.45
tmem229a	-0.14750000000000008
wnt8a(2of2)	-0.54
dclk1(1of2)	-1.22
cldn23(2of2)	-0.5700000000000001
wnt7b(1of2)	-0.2524242424242423
fbxl14(1of2)	-1.8675
msra(1of2)	-2.295
atp2a2(3of4)	0.35000000000000003
lhx3	-1.3
il21r(1of2)	-0.98375
fam78b(1of2)	-1.25
tnfaip8l2	-1.33
lgi1(1of2)	-1.25
dio3(1of2)	-1.29
ctb-55o6.8	1.6500000000000001
nkx2-1(2of2)	-1.33
zic1(1of2)	-1.12
arid1b(2of3)	-1.699375
h1f0	-4.465
pcdhgc4	-1.3
hes2(3of3)	-1.09
grid2	-0.9016666666666667
ankrd9	-0.8833333333333333
ar(2of2)	-1.16
nppc(1of3)	-1.26
foxh1(2of2)	-1.5
st8sia5	-0.8049999999999999
tyrp1(2of2)	-1.33
tpm1(3of3)	-1.2
rxfp3(6of6)	1.03
kcna4	-0.49333333333333335
rnf220(1of2)	-0.8214285714285713
zfp423	-1.0992857142857144
il1rapl2(1of2)	-0.19
hoxb1(2of3)	-0.905
kcnn3(2of4)	-1.48
nodal(1of3)	-1.19
aanat(1of3)	-1.3775
nr2e1	-1.28
neto2(1of2)	-1.48
nptn(1of2)	-1.41
ptchd4	0.22666666666666677
hcn4(4of4)	-1.35
wrap73	-1.14
ptger4(3of4)	-0.53
irx2	-0.028378378378378397
eomes(1of2)	-0.565
neurod4(2of2)	-1.24
gpr37(1of2)	-0.32000000000000006
hcn4(3of4)	-0.7833333333333333
emc3(2of2)	-0.4720000000000001
bmper	-0.9953333333333334
bmp7(3of5)	-1.0461538461538462
efna2(2of2)	-2.0475000000000003
kcnj3(3of3)	-1.47
tmem74(2of2)	-1.335
itga8(1of2)	-2.3825000000000003
nbea(2of3)	-0.815294117647059
pitpnm3	-0.07999999999999996
det1	-1.0991666666666668
pip5kl1	-1.32
adgrl1(2of2)	-0.05999999999999997
gpr26(3of4)	-0.7157142857142859
LOC107392730	-1.3639999999999999
fgf6(2of4)	-0.835
fgf12(2of2)	-1.065
skor1(1of2)	-0.275
kiaa1614	-1.19
ntng1(1of2)	0.8271428571428572
crim1(1of2)	-1.3519999999999999
foxo3(3of4)	-0.37
LOC107382229	-0.5979999999999996
prpsap2	-0.2133333333333333
foxq1(2of2)	-1.15
gfi1b	0.565
mpv17l(1of2)	-1.1
dll4(2of2)	-0.18200000000000002
igf2bp1	-0.75
evl(1of4)	-0.3
LOC107395009	-0.06000000000000005
tmem266(1of2)	-1.29
cbx4(1of3)	-0.5166666666666667
nefm(1of2)	-1.33
foxj1(2of2)	-0.79
fam167a(2of3)	-1.39
slc35f3	0.9924999999999999
s100a13(1of3)	-2.01
loxl3	-0.9650000000000001
zdhhc15	-0.5499999999999999
sorcs1(1of2)	-0.1
dmbx1(3of3)	0.2625000000000001
cyp1b1	-1.2025000000000001
fli1(1of2)	-0.38375
pou4f2	-0.730625
paqr6	-1.19
pcdh10(7of10)	-1.1433333333333333
nlgn2(2of2)	-0.91
ppfia3(2of2)	-0.265
sphk1(2of3)	0.7060000000000001
ptger4(4of4)	-1.17
myoz2(2of4)	-0.9650000000000001
cdkn2b	0.084
pcdh10(6of10)	-1.12
fscn1(1of2)	-0.8466666666666667
ascl5(2of2)	-1.35
sim2	-0.7849999999999999
afap1l2(2of2)	0.6599999999999999
gdf11	-1.0918181818181818
cecr6	-1.2
fezf1	-0.3450000000000001
