Gene	Chip_FC	RNA_FC
slc25a21	0.11421052631578947	-1.28626769
dmrta2	0.6525	-3.327065329
foxd3	-1.1921428571428572	-2.701413722
trim13	-1.62	1.132050173
hoxc10	-1.57	2.841694491
hoxb9(2of2)	-1.19	1.722444636
hoxd11	-1.62	1.970637576
cbx8(1of2)	-1.62	4.262299212
nkx2-1(1of2)	0.11666666666666664	-3.571876026
barhl2	-0.383	-2.796486682
tbr1(2of2)	-1.61	2.007209416
bhlhe41	-1.66	2.009174069
pcdh8(3of3)	-0.9261538461538462	-3.448916577
cdx4(2of2)	-0.765	2.84167708
foxe1(2of2)	-1.17	-1.267660937
nkx2-2(2of2)	-0.7266666666666666	-1.224985364
ube2h(1of2)	-1.52	1.898186195
olig3(1of2)	-0.6275000000000001	-2.889598971
pax9	0.15846153846153846	-2.164373282
fgf8(2of2)	-0.5725	-1.421628737
hand1	-1.55	-1.726674678
pax1	-0.633529411764706	-1.346647622
hbg2(2of4)	-1.45	-4.097434374
pitx2(2of2)	0.37166666666666665	-2.635770602
foxl1(2of2)	-1.58	-4.78953795
hoxb6(1of2)	-0.57	-1.199070241
nrn1(1of2)	-1.49	-1.843257068
tbx5(2of2)	-1.1575	-1.25771951
sox1(1of2)	-0.1688235294117646	-2.318889029
lhx5	-0.96	-2.427091602
nkx2-8	-1.51	-2.557269006
insm1	-0.009333333333333376	-4.232813841
atoh1(1of2)	-0.9175	-2.53318948
hoxc11(1of2)	-1.5	1.315557191
nr2f1	-0.3816666666666666	-1.911061057
r3hdm1(1of2)	-0.595	1.054633168
onecut2(3of4)	-1.02	-1.574718939
flt1(2of2)	-0.845	1.209806937
hoxa2b	-1.5750000000000002	2.149088137
bhlhe22	-1.1363157894736844	-2.84639769
isl1	-0.30250000000000005	-1.344461427
pax2(1of2)	-1.2600000000000002	-1.076124663
anxa2(2of3)	-1.085	-1.35002904
nkx3-2(2of2)	-1.36	-2.506038297
tfap2a	-1.192	2.676202198
nkx2-6	-0.825	-1.031515089
ppara(1of2)	-0.8925000000000001	2.789631375
hmx2(1of3)	-1.125	-5.463580507
tlx3(2of3)	0.23416666666666663	-1.710059779
cdkn1b(1of3)	-3.45	5.090075042
fam83d	-0.2700000000000001	-1.602295585
hlx	-0.6014285714285714	-2.860298718
en2	-0.865	-1.685794999
dlx1(2of2)	-0.33571428571428574	-2.200006582
pax5	-0.7849999999999999	-1.1715365
pdx1	-1.3	-2.01371534
otp(1of2)	-1.4016666666666666	-4.32357397
ralgapa2	-1.2979999999999998	1.377447132
kctd12(2of2)	-1.53	-2.787830596
hoxa13(2of2)	-0.265	2.057636833
gsx1	-0.8025000000000001	-5.529216556
kcnf1(1of2)	-1.48	2.475535152
gfi1(2of4)	-1.39	2.254568833
LOC107379752	-0.46	-1.974198335
nhlh2	-0.41857142857142865	-1.278833951
efemp1	-1.44	1.315171682
h2afy	-0.61	-2.522165304
zfhx3(2of2)	-0.37818181818181834	-1.057663121
helt	-1.36	-5.017046465
notum(2of2)	-2.82	1.491987243
foxd1(1of3)	-1.43	-2.9854772
mafa	-0.895	1.321973978
tlx3(1of3)	-0.7899999999999998	-5.51617536
nr2f2(1of3)	-1.7275	-2.55711345
tbca	-0.7658333333333333	-1.684906169
wnt1	-1.02	-1.457131911
prox1(3of5)	-1.0581818181818183	-4.12273853
sall1(2of3)	-1.1664583333333336	-2.181693293
dlx6(1of2)	-1.08	-4.010216933
vax2	-0.32749999999999996	-1.741533072
dbx1(2of2)	-0.6841176470588236	-3.11427207
phox2a	-0.748	-2.205224356
snap29	-1.6	1.286557183
lhx6(1of2)	0.26399999999999996	-2.26969777
ebf1(2of2)	-0.958888888888889	-1.491439109
rspo2(2of2)	-0.578	-1.135703986
zic4(2of2)	-0.9875	-2.646813275
nkx6-1	-0.31000000000000016	-1.223703437
phox2b	-0.26818181818181813	-3.098637684
lhx2	0.07750000000000003	-1.568212215
cacna2d3(1of4)	-1.3166666666666667	-2.306818396
sp8(2of2)	-0.445	-1.089874948
foxd1(2of3)	-1.1707692307692308	-1.372028366
tbx1(2of2)	-0.91	-1.435015765
shf	-1.2633333333333334	1.031196689
mpped2	-1.1364285714285713	-1.804769099
onecut2(4of4)	-1.352	-1.529078899
barx1	0.01166666666666657	-6.17279814
adamts5	-0.8	-1.4387572
sp8(1of2)	-1.1	-1.115834408
rhbdl3	-1.4816666666666667	2.14629119
pax3(2of2)	-1.56	-1.31990446
kcng3(1of2)	-1.58	3.350280763
cyp26b1	-1.1785714285714286	-4.042446739
sv2a(2of2)	-0.2733333333333334	-2.139695636
immp1l	-0.7575000000000001	-1.408739997
urm1	-1.17	-1.152786469
en1(2of2)	-0.645	-1.816167316
six6	-1.3375	-2.937361487
neurog1	-1.6	-2.159432849
sox21	-1.0621428571428573	-1.785626768
pou3f2(2of2)	-0.8399999999999999	-1.211693254
fut5	-1.21	-2.893947867
inafm1	0.21666666666666667	2.694426808
ar(1of2)	-0.784	-1.366366438
wnt9b	-0.7799999999999999	-2.784293956
gadd45gip1	-0.45899999999999996	-2.170930342
lox(1of4)	-0.3166666666666667	-1.637015047
pou3f3(2of2)	-0.51	-4.376997911
onecut1	-0.36000000000000004	-1.475889235
apba2(2of2)	-1.623333333333333	-1.157205669
plxnd1	-0.8966666666666666	-1.861846156
irx1(1of4)	-0.7751515151515153	-1.371871967
edn1	-1.86	1.240536015
emx2	-0.6164285714285713	-1.096865457
fgf18(2of2)	-1.755	-2.073539701
dcc(1of2)	-0.9096666666666668	-1.255552289
sntg2	-0.8250000000000001	1.287915199
hey1(1of2)	-0.9306666666666664	-1.978018668
aldh1a2	0.12199999999999997	-2.052368221
cbx8(2of2)	-1.28	1.282826757
stmn2(2of2)	-0.825	-2.596892992
ppara(2of2)	0.39437500000000003	2.742983435
adcyap1(1of2)	-1.18	-2.426197913
cdc37l1	-1.3	2.56399301
hoxb1(1of3)	0.022499999999999992	1.874469257
alx4(2of2)	0.5592307692307692	-1.450698794
tbx15	-0.4891666666666665	-1.826499884
cdh6	-1.6884615384615385	-1.551882088
hes1(1of3)	-1.4045454545454545	-1.327274426
pax7	-0.75	-3.698755287
mgll	-1.34	-1.705548133
cdx2	0.48333333333333334	-4.446402829
dll1(3of5)	0.0059999999999999915	-1.477006208
wnt6	-1.38	-1.465385794
serp2(2of2)	-0.9275	3.301181735
pitx1	-0.3725000000000001	-1.781920472
pura(1of2)	-1.31	-1.059977337
klf2(2of2)	1.1957142857142855	-1.069546301
krt17(5of5)	0.15500000000000003	-3.634011002
pcdh10(5of10)	-0.6966666666666667	-3.646848621
klf2(1of2)	-1.117	-1.423945184
synm	0.29500000000000004	2.358732077
esyt1(2of2)	-1.34	-5.900354592
mocs1	-1.1099999999999999	2.83595527
metrnl(1of3)	-1.5099999999999998	-1.181654938
sowahb	-1.64	1.622326596
bcl11b(1of4)	-0.985	-3.345033444
fgfbp1(1of3)	-1.48	3.619452526
rims2(3of4)	-1.44	-2.565319946
cyp26c1	-0.4959999999999999	-3.100006067
