Gene	Chip_FC	RNA_FC
aanat(3of3)	-1.4	4.554526096
abca4(1of2)	-1.01	1.066190867
abcd2	-1.05	-1.797685481
abtb2(1of2)	-1.13	1.345775622
acot1(1of2)	-1.4	1.368420739
acot11(1of2)	-1.38	2.114247939
adamts1	-1.04	-2.486687685
adamts12	-1.25	-3.96161044
adamts16	-1.83	1.058093558
adamts5	-1.47	-1.4387572
adcy5	-1.26	-1.914741678
adcy6(1of2)	-1.11	1.232427272
adcyap1(1of2)	-1.18	-2.426197913
adora2b	-1.35	1.560088452
aebp2(2of2)	-1.19	-2.592534087
afap1l2(2of2)	-2	2.490293757
agap1	-1.46	1.428652742
agfg1(1of3)	-1.4	2.833486838
agmat	-1.29	-2.440236943
agrn	-1.22	-1.130192662
ak7(1of3)	-1.28	1.922975685
aldh1a2	-1.39	-2.052368221
aldoc(1of2)	-1.07	2.484002495
alx4(1of2)	-1.13	-1.533101762
alx4(2of2)	-1.23	-1.450698794
angpt2(2of2)	-1.8	-4.469354798
angptl1(2of4)	-6.17	-3.322678402
angptl4(1of2)	-2.11	3.012754033
ank1(1of3)	-2.19	1.272359533
ankrd24	-1.28	-4.473423679
anxa3	-1.81	2.188456713
apcdd1(1of2)	-1.47	-1.52758194
aplnr(3of3)	-1.07	-2.78986666
ar(1of2)	-1.37	-1.366366438
arid1b(2of3)	-1.27	-1.158231572
armc2	-1.9	1.741966565
arntl(1of3)	-1.05	1.620365141
arsi(1of3)	-1.05	-2.483754951
aspa(2of2)	-1.11	-2.803397708
atf6	-1.16	1.054085052
atg16l2	-1.3	1.167517528
atn1	-1.53	1.211683045
atoh1(1of2)	-1.5	-2.53318948
atp11a(1of2)	-1.01	-1.668906601
atp11b	-1.17	1.224023754
atp1a3(1of2)	-1.46	-1.272562911
atp2a2(1of4)	-1.05	-1.984035404
atp2a2(3of4)	-1.38	-1.037491515
atp8a1	-1.02	-1.240750595
auts2(2of2)	-1.07	-1.280236807
b3gat2	-1.26	1.429590407
b4galnt4	-1.07	-2.391462058
b4galt3(2of2)	-1.21	1.888510472
baalc(1of2)	-1.34	3.999320023
bahd1(1of2)	-3.6	1.07397271
bahd1(2of2)	-1.22	1.649196423
baiap2(1of3)	-1.31	-1.675434065
baiap2l1(3of3)	-1.03	1.03962293
barhl2	-1.7	-2.796486682
basp1	-1.14	-4.013571701
bcam	-2.67	-1.125562961
bcar3(1of2)	-1.85	1.288922183
bcl11b(1of4)	-1.28	-3.345033444
bco2(1of3)	5.62	1.143951281
