Gene	RNA_FC	Chip_FC
aagab	0.141431404	0.41808837
aak1	0.948058244	-0.602754267
aanat(3of3)	3.670476779	-4.106044772
aar2	-0.411453826	0.416601772
aasdhppt	1.867600093	0.428823546
aatf	-0.757046742	0.553123485
abat	1.572301665	0.672967279
abca1(3of5)	0.902162803	-0.739667341
abca4(1of2)	0.849514154	-0.383314081
abcb11(1of2)	0.01124194	-0.77854918
abcc1(3of3)	-0.675244114	-0.468551966
abcc10	-1.273550478	-0.841328882
abcc3	-0.318283218	-0.354041264
abcd3(2of2)	-0.88084297	-0.575981428
abcd4	0.85074801	-0.364651174
abhd10	0.681578004	0.434560846
abhd14a	0.164531005	0.333841404
abhd17b	-2.580537028	-0.422559738
abhd5(2of2)	1.496411797	0.397571853
abi1(1of4)	-0.295118753	-0.351328497
abi1(2of4)	NA	0.789426252
abi2(1of2)	1.021637806	-0.335091783
abtb1	1.821277147	0.615376232
ac004381.6	0.409277993	-0.46627505
ac111632.2(2of2)	2.965629252	-0.724976474
acad9	0.2708577	-0.314277103
acbd3	-0.989458492	0.331346351
acbd5(2of2)	-0.83333228	-1.099603109
acin1(1of2)	-0.791471003	-0.477743233
acin1(2of2)	-0.680429891	-0.426509913
ackr3(2of3)	-1.075462685	0.423565651
aco1	-0.415347363	0.313358318
acot8	-0.283939567	0.395611568
acsf2(1of2)	2.392266865	0.55635736
acsl1	-0.414514061	0.370234281
acsl4	0.363047029	0.414434119
acsl6(1of2)	-3.023443651	0.466270023
acss2(1of2)	-0.23238625	-0.729928814
acss2(2of2)	-0.932887163	0.472484006
acta2	4.483609133	0.674033948
actc1(3of5)	-2.657959772	-1.281427566
actr2(1of2)	0.801232011	0.527214977
actr2(2of2)	0.115780146	0.574786205
actr3(2of3)	-1.770111359	0.361184143
acvr2a	-0.32720651	-0.664001746
adad2	-0.785777057	-0.858712042
adam12(2of3)	-1.2186009	-0.588478006
adam17(2of2)	-1.198832106	-0.536218363
adam8(2of2)	0.576549891	-0.306217926
adam9(1of2)	-0.812274377	-0.890461846
adamts16	0.533197614	-0.413814768
adamts3	-1.416655979	-0.620528642
adamts7	0.122444033	-0.781979064
adarb1(3of3)	-0.989880458	-0.533639057
adck3(2of3)	0.705626912	0.405580264
adcy5	-2.050895208	-0.781062405
add2	1.965348316	-0.383067963
add3(1of2)	-0.282655769	-0.729163648
adgrb1(2of4)	-0.54056702	-0.764821877
adgrb3(1of2)	-1.321781678	-0.960854353
