Gene	RNA_FC	Chip_FC
a1cf	-0.439261819	0.508801864
a2m	0.417620656	-0.165484117
a2ml1(2of4)	0.384472979	0.1397642
a3galt2(1of3)	-0.640925106	0.350442024
a3galt2(2of3)	-0.084554925	0.557251881
aaas	-2.44688392	-0.158645794
aacs	0.615827812	0.181288041
aadat	-0.618043354	0.04146295
aaed1(1of2)	-0.214574286	0.403542482
aaed1(2of2)	1.641452993	-0.095890335
aagab	0.141431404	0.41808837
aak1	0.948058244	-0.602754267
aamdc	3.913638951	-0.207306786
aamp	-0.147299309	0.208939587
aanat(2of3)	0.060042176	-0.082099413
aanat(3of3)	3.670476779	-4.106044772
aar2	-0.411453826	0.416601772
aars	0.871051751	-0.04989364
aars2	1.889386954	-0.225141886
aarsd1	-1.773785808	-0.256889635
aasdh	0.299175242	-0.139538447
aasdhppt	1.867600093	0.428823546
aass	-0.456393079	0.021094801
aatf	-0.757046742	0.553123485
aatk(2of2)	1.464198272	-0.278413926
abat	1.572301665	0.672967279
abca1(1of5)	1.22592619	-0.082716193
abca1(2of5)	5.942478822	0.130067636
abca1(3of5)	0.902162803	-0.739667341
abca1(5of5)	-0.886859204	-0.034023266
abca12(2of2)	1.471350378	0.316281749
abca3	0.494645707	-0.067624058
abca4(1of2)	0.849514154	-0.383314081
abca4(2of2)	-0.988684394	-0.238937108
abca5	0.303692316	-0.090869525
abcb10	0.879079717	-0.050810991
abcb11(1of2)	0.01124194	-0.77854918
abcb6	-0.184188982	-0.161050322
abcb7	-0.015272104	0.062761061
abcb8	-2.028627206	-0.412999193
abcc1(2of3)	-0.851231565	-0.338412763
abcc1(3of3)	-0.675244114	-0.468551966
abcc10	-1.273550478	-0.841328882
abcc12	0.594764798	0.038104069
abcc3	-0.318283218	-0.354041264
abcc4	-1.547996717	0.595347519
abcc5	0.659027083	-0.446403913
abcc8	-0.929674828	-0.230940642
abcc9	-0.54535073	-0.227240271
abcd1	3.22374503	0.034096958
abcd2	-2.059810169	-0.361224584
