Gene	RNA_FC	Chip_FC
aanat(3of3)	3.670476779	-4.106044772
abat	1.572301665	0.672967279
abcc10	-1.273550478	-0.841328882
abtb1	1.821277147	0.615376232
ac111632.2(2of2)	2.965629252	-0.724976474
acta2	4.483609133	0.674033948
actc1(3of5)	-2.657959772	-1.281427566
adam12(2of3)	-1.2186009	-0.588478006
adamts3	-1.416655979	-0.620528642
adcy5	-2.050895208	-0.781062405
adgrb3(1of2)	-1.321781678	-0.960854353
adss(1of2)	-2.379392473	0.643215779
afmid(2of2)	1.295510187	0.590099943
ago3(1of2)	-2.521266878	-0.662952055
agpat4(2of2)	2.831301898	-1.222102894
allc	3.215501392	0.699419533
alox5(2of2)	1.56996583	-1.480958973
alpl	-1.377934262	1.181874299
amigo3	8.386414403	2.31303953
anxa1(1of2)	1.935227822	0.698283346
anxa5(1of2)	2.389229389	0.724427892
apoe(1of2)	1.716616169	1.07737126
arf1(2of3)	-2.19071711	0.876227595
arf6(1of3)	-1.820725867	0.604222408
arhgap9	1.179636155	-0.580102943
arrdc3(6of8)	3.170598884	0.611460001
arsi(1of3)	-2.841728312	-0.697384648
astl(1of9)	-3.731308176	-1.80672459
atg14	1.843354961	0.888358736
atmin	1.261809546	-0.895562231
atp2a1(1of2)	1.993999085	-0.726638297
bard1	-3.749266084	-0.729849915
bax(1of4)	1.357712225	1.502728069
bhmt(2of2)	4.634119172	1.031701573
bod1	1.265344574	0.621826304
brca2	-1.116072494	-0.604893078
btg4(1of2)	1.087636702	0.718214987
c2orf72	-1.420275398	0.600472567
c3orf18(3of3)	2.999930801	0.802829989
c6orf118	2.140994249	-0.798093138
c9orf64	-1.588196707	-0.706766428
carhsp1	1.317081957	-0.816889458
cbarp(1of2)	-3.33850292	-0.876283916
cbx7(1of2)	4.834873736	0.678931378
ccdc64b	3.1839864	0.581827056
ccser1	1.68863728	-0.648667323
cdca7(1of2)	3.447312914	0.896227687
cdk9	-1.101740639	0.704308074
cdkl1(1of2)	3.083120598	0.790834614
cdkn1b(1of3)	4.249861257	0.667188064
cenpf(2of2)	-6.3547209	-0.844512675
cenpn	-4.944450865	1.183849027
ces1	-1.153814501	-0.724613043
chad	4.729177925	0.760227485
cilp2(2of3)	-5.648989347	2.846490022
cilp2(3of3)	-7.631356822	2.342122985
cipc(1of2)	1.071392269	0.725199137
ckm(2of2)	1.354231797	-1.288457936
cldn7(1of2)	-1.344289025	0.826442823
cnih1	-1.575788283	1.050214531
cnn1	2.143100831	-0.684098923
cntnap1	-1.655458149	-0.757942473
col11a1(4of4)	-4.980611879	-0.623617824
col12a1(2of2)	-3.902365078	-0.72322818
col13a1(1of2)	-1.4528782	-0.592022017
col28a1(2of5)	-3.262900177	-0.83271183
col9a3(2of2)	-5.677233345	-0.993395036
coq3	1.106946316	0.648405031
cox4i1(1of2)	-4.008080662	-0.772761378
cox6a1(2of2)	1.745084558	3.179840075
crabp2(1of2)	-2.30606723	0.969549817
cracr2b	-1.546251262	-0.879537798
crebzf	1.175712697	0.646204021
csdc2(2of2)	2.619232924	-0.610780396
csprs(1of2)	1.689115885	-0.843755527
csrnp2(1of2)	-2.459353407	1.414980676
ctdspl(1of2)	1.754112898	0.880556826
cuedc2	1.470530686	1.028591152
cxcl12(1of2)	-1.771696183	0.833529616
cxcl14	-1.361865795	0.726910371
cyba	1.885081571	0.823851569
cyp2j2(4of13)	1.72433488	0.881487722
dazl	3.30308506	-0.867604838
dbndd1	1.273048725	-1.405750758
dcc(1of2)	-1.07030306	-1.062409409
ddit4(1of2)	2.471944995	0.699718333
ddx10	-2.026982882	-0.774556495
dffb	-1.156787258	-1.154454084
dhx57	-1.539302224	-0.682834428
dmbt1(2of3)	1.38919311	0.721953122
dmgdh	2.158899762	0.667743678
dnah12(2of2)	1.2225648	-0.881493901
dnah8	1.526626905	-0.793296463
dph6	-1.172446112	-0.782116419
dpp3	-4.888582299	-0.692764228
dsp(1of2)	2.410447308	-1.236157641
e2f5	-3.069941974	-0.790726994
ebna1bp2(2of2)	1.805759048	-0.821313795
ednra(2of2)	-1.355731529	0.844988447
eef1a1(5of5)	1.530577813	-1.40504362
efna4	1.62083064	0.631131405
eftud2(1of2)	-2.381593468	0.806475107
eif4e(3of3)	-2.995590586	0.61358254
eml6	-1.529675541	-0.650204305
epb41l1(2of2)	1.213091697	0.964770999
esco2	-1.998133335	0.820185773
eva1b	-1.466606794	0.64329362
f10(1of3)	2.756342417	0.780208119
f10(3of3)	1.771224746	0.720826473
f2r(2of2)	3.023406834	0.652092684
fabp6(1of4)	-1.693634321	-1.305055334
fam161b(2of2)	2.360755497	-0.683028988
fam49b(1of3)	-1.158095287	0.606713866
fam64a	-2.873766323	0.58122435
fam69a(1of2)	1.350713371	-0.679134976
fam69c	-2.265770333	0.942372194
fbn2(2of3)	-3.063627074	-0.671310224
fbp1(1of2)	1.14807787	0.990223976
fbxo15(3of3)	2.353812099	0.724867429
fgf1(2of2)	-1.223470591	0.645491723
fgfbp1(1of3)	2.572653521	0.676264129
fgl1(3of3)	3.57235592	-0.771998252
fkbp15	-1.194923668	-0.823573908
foxf1	-1.345630361	-0.836631238
fst	-2.780361768	-1.152826569
fxyd3	1.983419947	0.615452703
gatad2b	-1.412736806	-0.708222248
gcg(1of2)	-1.399697011	-0.786568962
gchfr	5.528138208	0.667340364
gfra1(7of7)	-2.218670189	-0.858559679
gid4(2of2)	1.131999784	0.589460544
gimap4(3of7)	2.491680578	-0.653823213
gimap7(3of11)	5.527578392	-3.715725812
gimap9(5of10)	2.979391743	-2.221683826
gin1(8of10)	1.609368122	-0.595669087
gk(1of2)	-2.687213368	-0.742578828
glul(1of3)	1.791055381	0.861103809
gm17296(2of2)	-1.678673918	-0.917457111
gmcl1	-1.165326084	0.925531498
gng2	1.580186275	-0.657758173
gpat3(1of2)	1.127856364	1.367160859
gpr155(2of2)	1.031313945	-0.65255585
gpt(1of4)	1.21272214	0.798924229
gramd1b(1of3)	1.556361407	-0.75436852
grpel1	-1.630506204	0.65451244
gsg1l(6of7)	1.765031194	-0.660068364
gstcd	-1.841857715	1.643816284
gstm3(2of2)	1.736692184	0.641786163
gulp1(2of2)	2.894250873	0.580614554
h3f3a(3of6)	-1.911560314	0.690630443
hc	2.4251694	-0.814753826
hdac4(1of2)	1.458585387	0.595468835
hexb(2of2)	-2.248724053	-0.641457254
hgd	3.231544677	0.630805528
hlf(1of5)	3.134022883	0.588890613
hmbox1(2of3)	-2.011767937	-0.761814654
hmcn1(5of8)	-1.274987785	-0.634266077
hmgcr(2of2)	-1.676991534	-0.690973763
hnf1a	-2.441177987	-1.099491203
hnrnpab(2of2)	-1.956141107	0.661748577
hnrnpk(2of2)	1.165015766	0.720984441
hnrnpll	1.072613459	-1.054193937
hoxd11	1.654486937	0.619235517
hpd(2of2)	4.118304454	0.641646154
hpse	-1.561070196	-0.797565144
hsdl1	1.246019234	0.710383557
iffo1(1of2)	-2.001150117	-1.648442141
itga2	-2.91188333	0.676325417
itgb8	-1.807072465	-0.728234543
itih5	-1.828807512	-0.634513349
jmy(2of2)	1.651472691	-0.642541685
kalrn(2of2)	-1.72820984	2.604725788
kcmf1(1of2)	1.51385615	1.1315869
kcng3(1of2)	2.651306474	0.840447628
kcnq5(3of4)	-1.351966257	0.827551504
kdf1(2of2)	1.774331551	0.701662444
khk	1.153429719	-0.80773602
kiaa1191(2of2)	1.268992049	0.788179799
kiaa1524	-4.921939586	-0.767074834
kif23(2of2)	-5.159488837	-1.843276194
klhdc8a	1.275805397	-0.876188743
kpna2(3of3)	-2.423848469	-0.592733915
krt17(2of5)	1.102263022	-0.911032045
l3mbtl4	1.261434463	-0.724887733
lamb1(4of4)	-2.517089496	-1.218378255
ldb3(2of2)	2.517837858	0.596035142
lgals3(5of6)	1.442312905	-0.915275292
lhpp	-1.062771559	0.609707789
lin7a	1.360775698	0.585319523
lmnb1	-3.90959318	0.603159042
LOC107372488	-1.668502325	-3.712476139
LOC107372738	1.028172753	-0.583435926
LOC107372956	1.561643895	-1.757338194
LOC107373123	2.201165113	-2.132769885
LOC107373637	1.373701873	-0.618016001
LOC107375133	3.021096147	1.298824542
LOC107376465	1.084911324	0.612992738
LOC107376894	2.90070206	-0.757848148
LOC107376995	1.530891564	-0.640417741
LOC107378458	6.212915885	0.626176349
LOC107381066	-2.365603622	-0.846230474
LOC107383394	1.022578958	-0.733780403
LOC107389088	-1.181033878	-0.763354612
LOC107390281	1.076460289	0.654464442
LOC107391470	4.348862309	2.336577384
LOC107395447	-1.627084598	-1.011030987
LOC107395854	-1.556523751	-1.393953016
lpcat3	-1.744188406	-0.73241656
lrrc40	-1.523004034	-0.735664819
macc1	1.905022275	0.588197186
mafg(2of2)	2.331483241	0.606090754
mamdc2	-2.582528826	-0.666519438
map1b(1of3)	-3.169832484	-0.707917149
mapk8ip1(1of2)	1.789103331	-0.623773092
mapkbp1(1of3)	-1.613650311	-0.98390095
mast1(1of2)	2.771442748	-1.137249612
mast2(1of3)	-1.354277562	-1.186039364
mat2a(1of3)	-1.477571916	0.997935631
matn4(1of2)	-3.264525746	-1.197245971
mcm2	-2.692861609	0.680033987
megf6	-2.526412904	-0.716208087
megf9	1.098201142	-0.891271991
mettl7a(2of2)	-1.120773586	0.68348125
misp	1.089635469	-0.795582052
mkrn2(1of2)	-3.868170697	1.1871326
mlf1	1.180399558	0.642865857
mlph(2of2)	-1.779535942	-0.935376109
mpdz(3of3)	1.750027364	-0.590778672
mpzl2(1of3)	1.857248614	0.864641008
mpzl2(2of3)	2.103792508	0.833496894
mrc1(13of18)	1.678297426	-0.632409166
mthfs	1.297812909	0.660211443
murc(1of2)	1.376647769	0.587199056
myo15b(1of2)	1.22993852	1.218573097
myo6(1of2)	-2.631502389	-0.610990318
myof(2of2)	2.334748557	-0.61348682
nae1	-2.290545367	-1.017476296
ncapd2	-2.171102384	-0.74057303
nfix(1of3)	-1.778052731	-0.895189502
nipa2(1of2)	2.179793681	0.580456663
nipsnap1	3.747513971	0.747473068
npb	2.543495001	-0.773975086
nr1h4(1of2)	-1.473404254	-0.962304178
nrp2(2of2)	-1.774082967	-0.647529484
nusap1	-8.207308889	0.75382739
ogfrl1(2of2)	-2.534020517	-0.750763928
osbpl3(3of3)	1.168675298	-0.706835709
otud1(1of2)	1.916065364	0.875223415
pbrm1(2of2)	-1.215777479	-0.605260899
pcdh18(1of2)	-2.114656907	-0.713042749
pcgf5	4.284244849	0.71887657
pcyox1l	-1.845922079	0.770107678
pdgfa(1of2)	-2.570719426	-1.295340428
pfkp(2of2)	-3.236923318	-0.580634133
pgrmc1	-1.428301549	0.622737971
pigu	-1.860259147	0.794462247
plcd1(2of2)	2.218602409	0.625228998
plcxd1(1of5)	3.348763603	0.862166193
plekhg4(2of5)	2.915629197	-0.841000568
pltp	-1.997052338	3.58672451
plxna1(2of2)	-1.376305707	-0.645037549
pmm1	1.024427557	-0.979199688
ppara(1of2)	1.424658593	0.585815151
ppm1h(1of3)	-1.328758659	-0.653953499
ppp1r26	-1.476282162	-0.803460982
ppp1r27(1of2)	1.531618975	0.599405871
ppp1r3c(3of3)	2.519328699	0.662794639
ppp1r9b(2of2)	-1.034649477	-0.79263564
prdm13	-1.384471393	-0.814640226
prkcd(1of2)	-1.115222333	0.75957146
prpsap2	1.132908725	0.674709938
prrc2c	-1.015434899	-0.670478932
prune2(2of2)	-1.289810179	-0.636412927
psma6(3of3)	-1.841160269	-0.881939469
psmd6	-2.287685817	0.653506013
psme2	-2.0229823	-1.07891475
ptchd3	-1.635056736	-0.773876823
ptges3(2of2)	-1.066643782	0.612486411
pycard	-1.209252404	1.683754871
rab28	1.233094852	0.767390509
rab38(2of2)	1.996490491	0.750714487
rab3d(2of2)	2.545548075	-1.956526869
rab4b	1.025670811	0.895756836
rabgef1(2of3)	-1.419049006	0.767618346
rai1	1.762108533	-0.798915015
rap1gap(3of3)	1.370336322	-0.67692546
rassf2(1of3)	-2.166472069	1.717189799
rbbp4	-2.526292239	0.728108278
rbp4(2of2)	-1.755642628	0.769410324
rcvrn(2of3)	-2.242461487	-0.873608306
recql4	-3.892995085	-0.719308536
rgs7	2.11833322	-0.580851071
rin2(3of4)	3.879862602	0.582359322
rnf165(1of2)	-1.211876389	-0.634731664
rps6kl1	2.326003082	0.63552776
rrh	-3.916779692	-1.103784266
rrm2(2of2)	-5.458394287	0.693597203
samd10(2of2)	-2.136767387	0.69549099
sardh	2.119844232	-1.056634401
sat1(1of2)	-2.513091834	1.844108506
sdhb	1.038423295	0.629831754
sepp1(1of2)	4.00929221	0.657138969
sept10	-1.158037565	0.599793796
serp1	1.962197789	0.666571671
