Gene	RNA_FC	Chip_FC
aak1	0.948058244	-0.602754267
aanat(3of3)	3.670476779	-4.106044772
aasdhppt	1.867600093	0.428823546
aatf	-0.757046742	0.553123485
abat	1.572301665	0.672967279
abca1(3of5)	0.902162803	-0.739667341
abca4(1of2)	0.849514154	-0.383314081
abcc1(3of3)	-0.675244114	-0.468551966
abcc10	-1.273550478	-0.841328882
abcd3(2of2)	-0.88084297	-0.575981428
abcd4	0.85074801	-0.364651174
abhd10	0.681578004	0.434560846
abhd17b	-2.580537028	-0.422559738
abhd5(2of2)	1.496411797	0.397571853
abi2(1of2)	1.021637806	-0.335091783
abtb1	1.821277147	0.615376232
ac111632.2(2of2)	2.965629252	-0.724976474
acbd3	-0.989458492	0.331346351
acbd5(2of2)	-0.83333228	-1.099603109
acin1(1of2)	-0.791471003	-0.477743233
acin1(2of2)	-0.680429891	-0.426509913
ackr3(2of3)	-1.075462685	0.423565651
aco1	-0.415347363	0.313358318
acsf2(1of2)	2.392266865	0.55635736
acsl1	-0.414514061	0.370234281
acsl4	0.363047029	0.414434119
acsl6(1of2)	-3.023443651	0.466270023
acss2(2of2)	-0.932887163	0.472484006
acta2	4.483609133	0.674033948
actc1(3of5)	-2.657959772	-1.281427566
actr2(1of2)	0.801232011	0.527214977
actr3(2of3)	-1.770111359	0.361184143
acvr2a	-0.32720651	-0.664001746
adad2	-0.785777057	-0.858712042
adam12(2of3)	-1.2186009	-0.588478006
adam17(2of2)	-1.198832106	-0.536218363
adam8(2of2)	0.576549891	-0.306217926
adam9(1of2)	-0.812274377	-0.890461846
adamts16	0.533197614	-0.413814768
adamts3	-1.416655979	-0.620528642
adarb1(3of3)	-0.989880458	-0.533639057
adck3(2of3)	0.705626912	0.405580264
adcy5	-2.050895208	-0.781062405
add2	1.965348316	-0.383067963
add3(1of2)	-0.282655769	-0.729163648
adgrb3(1of2)	-1.321781678	-0.960854353
adgrg6(1of2)	-0.429586903	0.809185059
adipor1	0.840247988	0.483264237
adpgk(1of2)	-1.454715196	0.416085483
adprh(1of2)	1.75667264	0.315343885
adprhl2	-0.846292395	0.436702546
adss(1of2)	-2.379392473	0.643215779
aebp1(2of2)	-0.585639868	-0.659855467
aen	0.749630639	0.372240543
afmid(2of2)	1.295510187	0.590099943
ago3(1of2)	-2.521266878	-0.662952055
agpat4(2of2)	2.831301898	-1.222102894
agtrap	-1.344956339	0.560390874
ahcyl2(2of4)	-0.578764485	0.326443158
aim1(1of2)	-0.574879634	-0.473215418
aim1(2of2)	-0.380423342	-0.582191174
aimp2	0.388425533	0.333847385
aip	1.353703777	0.554732062
ak4	1.263754397	0.564400081
akap13	0.525530477	-0.446793272
akap9(1of2)	-1.325428119	-0.449361383
akr1a1(4of4)	-1.34902637	0.451548528
akr7a2	1.120074413	0.405979184
aldh16a1	-0.976696376	1.249008266
aldh1l2(1of2)	1.407775298	-0.436078967
aldh4a1	-1.842777797	-0.507370246
aldh7a1	0.674150612	0.336905714
aldoa	2.576737509	0.535779619
aldoc(1of2)	2.215796162	-0.518599535
aldoc(2of2)	1.963367123	0.451112926
alg5	0.500899258	0.321873232
alg9	-1.889576529	-0.363532531
alkbh5	0.481112728	0.571528668
allc	3.215501392	0.699419533
alms1(3of3)	0.449545222	-0.437496781
alox5(2of2)	1.56996583	-1.480958973
alpl	-1.377934262	1.181874299
alyref(1of2)	-0.733898088	0.426445836
amigo3	8.386414403	2.31303953
ammecr1	-2.67291588	-0.523957035
angptl1(2of4)	-4.225423786	-0.511408811
angptl3(2of2)	-0.527668794	0.616069214
angptl4(1of2)	2.976967299	0.357221797
ank2(2of3)	0.675380865	-0.575269752
ank3(1of2)	-0.85293458	-0.428138254
ankfn1(2of3)	-0.67535243	-0.536000599
ankib1(1of2)	-0.648228971	-0.702306205
ankrd22	1.452791796	0.410338716
ankrd26	0.326275242	-0.327589238
ankrd27	-0.432552464	-0.407867407
ankrd39	0.569021318	0.472537522
ankrd44	0.747920043	-0.430517048
ankrd6(2of2)	0.7397664	-0.564623412
ano7(2of2)	1.99974008	-0.447689842
anp32b	-1.088366407	0.347413924
anxa1(1of2)	1.935227822	0.698283346
anxa3	2.05858186	0.45292566
anxa5(1of2)	2.389229389	0.724427892
