Gene	RNA_FC	Chip_FC
aanat(3of3)	2.927284474	-4.106044772
abcb11(1of2)	-1.32384005	-0.77854918
abcc10	-1.529629561	-0.841328882
abtb1	1.363334011	0.615376232
ac111632.2(2of2)	1.801791502	-0.724976474
acta2	2.734644449	0.674033948
actc1(3of5)	1.381874097	-1.281427566
adad2	-1.256684638	-0.858712042
adamts3	-1.30224772	-0.620528642
adcy5	-1.586926145	-0.781062405
adgrb3(1of2)	-1.004857474	-0.960854353
adgrl4(2of2)	1.206447358	0.59625527
adss(1of2)	-3.088673172	0.643215779
ago3(1of2)	-2.117197781	-0.662952055
agpat4(2of2)	2.952527386	-1.222102894
allc	2.711492746	0.699419533
alox5(2of2)	1.251132187	-1.480958973
aloxe3(2of2)	2.929297577	1.616172932
amigo3	5.387284728	2.31303953
ank2(1of3)	1.313971386	-0.636416998
ankk1(2of2)	4.151174523	3.747256043
ankra2(1of2)	-1.940667993	1.200122267
anxa1(1of2)	3.051331077	0.698283346
anxa5(1of2)	1.764828344	0.724427892
apoe(1of2)	1.830066929	1.07737126
arap2(1of2)	1.220104714	-0.618995555
arf1(2of3)	-2.507875637	0.876227595
arf6(1of3)	-2.267668813	0.604222408
arl5b(2of2)	1.928518839	0.794476008
arrdc3(6of8)	1.933595275	0.611460001
arsi(1of3)	-1.965828371	-0.697384648
astl(1of9)	2.14926223	-1.80672459
atg14	2.108039673	0.888358736
atp2a1(1of2)	1.302693813	-0.726638297
atpaf2	-1.13917626	0.708643392
b3galt2(4of7)	1.31314292	-0.693335062
b4galt2(3of3)	-1.103943835	-0.723182289
bard1	-6.281032127	-0.729849915
bhmt(2of2)	4.045573988	1.031701573
bpgm	-1.569625471	0.954856318
bpnt1	-1.698253646	-0.598131776
brca2	-2.209615384	-0.604893078
c16orf89	1.56654602	-1.145638326
c3orf18(3of3)	2.313954325	0.802829989
cadm4(3of4)	1.78486913	0.893776005
carhsp1	1.556648828	-0.816889458
cbarp(1of2)	-3.659964029	-0.876283916
cbx7(1of2)	4.138160591	0.678931378
ccbe1(2of2)	1.38485789	-1.734967385
ccdc64b	2.782239156	0.581827056
cchcr1	-1.081645965	-0.658569429
cd9(4of5)	1.27079682	0.716770549
cdca4(2of2)	1.03822833	0.669419698
cdk9	-1.025760875	0.704308074
cdkl1(1of2)	4.448709326	0.790834614
cdkn1b(1of3)	4.282922355	0.667188064
cenpf(2of2)	-3.797140791	-0.844512675
cenpn	-3.932957023	1.183849027
cfap157	-2.176158461	-0.90296013
chad	6.626864294	0.760227485
chd6	-1.213974832	-0.704413639
cilp2(2of3)	1.68419635	2.846490022
cilp2(3of3)	2.915202279	2.342122985
ckm(2of2)	2.910698937	-1.288457936
cldn23(2of2)	2.691903635	0.712595086
cldn4(6of19)	1.105546596	0.893425887
clic4(2of2)	1.520463164	0.801479724
cnih1	-2.135901642	1.050214531
cnih2	1.478952676	-0.71705438
cnn1	1.546415529	-0.684098923
cntnap1	-1.558603839	-0.757942473
col11a1(4of4)	-2.121152863	-0.623617824
col12a1(2of2)	-2.140440396	-0.72322818
col28a1(2of5)	-1.681200269	-0.83271183
cox4i1(1of2)	-1.636472506	-0.772761378
cox6a1(2of2)	2.583612106	3.179840075
cpsf4	-1.08533236	0.718516311
crabp2(1of2)	-2.502647628	0.969549817
cracr2b	-1.529544321	-0.879537798
csdc2(2of2)	1.267234114	-0.610780396
csprs(1of2)	1.84010596	-0.843755527
csrnp2(1of2)	-2.705669528	1.414980676
ctdspl(1of2)	1.764970331	0.880556826
cuedc2	1.230311143	1.028591152
cyba	1.520011974	0.823851569
cyp2j2(4of13)	1.080446186	0.881487722
dazl	1.915831341	-0.867604838
dcaf15	-1.789790005	0.594576055
dclk3(2of3)	1.691183981	-1.74039391
ddit4(1of2)	2.516111831	0.699718333
ddx10	-1.988020062	-0.774556495
dffb	-1.826618455	-1.154454084
dhx57	-3.176722563	-0.682834428
dis3	-1.080317393	-1.133414079
dll4(2of2)	1.305470285	0.62412652
dmbt1(2of3)	1.576648766	0.721953122
dmgdh	2.689237934	0.667743678
