target_id	length	eff_length	est_counts	tpm
col11a2	1086	916.816	1160	76.9676
runx2(2of2)	837	667.894	0	0
gtf2ird2(3of3)	574	405.679	0	0
mt_nd4	1381	1211.82	9472	475.485
mt_co1	1545	1375.82	113399	5013.96
hoxb9(2of2)	827	657.894	57	5.27049
mt_nd2	1036	866.816	1667	116.988
mt_cyb	1137	967.816	5224.08	328.359
mt_nd1	975	805.816	2790	210.62
sox11(2of2)	1139	969.816	107.387	6.73591
mt_co2	691	522.066	30128	3510.57
mt_nd5	1842	1672.82	4300	156.37
zmym1(14of14)	1113	943.816	0	0
sphk1(2of3)	500	332.608	20	3.65788
smdt1(2of2)	762	592.954	34	3.48811
smc6(2of2)	699	530.066	0	0
sebox(2of2)	714	545.012	0	0
rpl38	332	172.464	22306	7867.84
ppp1r3a(4of4)	255	107.082	84	47.7193
poln	753	583.954	17	1.77093
pla2r1(3of3)	765	595.954	4	0.4083
pde4d(3of3)	1495	1325.82	11	0.50471
pcsk7(2of2)	317	159.209	0	0
nlrc3(24of24)	662	493.117	0	0
necab1(4of4)	232	88.9064	18	12.3161
mt_nd6	519	351.092	2890	500.736
mt_nd4l	297	141.848	3461	1484.26
mt_nd3	349	187.907	689	223.053
mt_co3	784	614.894	16665	1648.68
mt_atp8	168	47.4856	220	281.834
mt_atp6	683	514.066	1733	205.074
mfap4(4of4)	611	442.254	0	0
klhl38(2of2)	1450	1280.82	5	0.237474
ins	573	404.679	34	5.11094
hoxa2b	627	458.164	23	3.05379
gtf2ird2(2of3)	890	720.894	169	14.2609
fzd3(4of4)	369	206.345	20	5.89613
fgfbp1(3of3)	1392	1222.82	15	0.746212
fgf11(2of2)	483	315.641	1	0.192725
elovl4(6of6)	471	303.98	0	0
deptor(3of3)	384	220.262	3	0.828542
cdkn1c(2of2)	213	75.3676	24	19.3713
adh5(4of4)	1537	1367.82	73	3.24659
a2ml1(4of4)	1662	1492.82	2	0.0814997
glipr2(2of2)	687	518.066	59	6.92786
pax6(4of4)	1522	1352.82	43.307	1.94738
fgf22	3384	3214.82	12	0.227069
cdk14(3of3)	461	294.191	16	3.30844
ccni2	2524	2354.82	1468.59	37.938
polq	5318	5148.82	1314	15.5246
fgf12(2of2)	4868	4698.82	850.314	11.0084
vps52	3162	2992.82	899	18.2731
rps29	345	184.157	12317	4068.65
cfap46(1of2)	3396	3226.82	121.972	2.29943
sash1(2of2)	7689	7519.82	1243.48	10.0592
pla2g1b(3of3)	2329	2159.82	5	0.140827
krt222	2245	2075.82	32.5574	0.954098
pdp1(3of3)	2695	2525.82	9	0.216757
mtus2(2of2)	2679	2509.82	52	1.26036
mtf2(2of2)	2345	2175.82	1676.15	46.8623
lin37	1710	1540.82	713	28.1495
cfap46(2of2)	2985	2815.82	129.028	2.78747
phf14	3730	3560.82	2706	46.2286
chd3(2of2)	8348	8178.82	74	0.550394
slc7a3	4392	4222.82	1179	16.9842
nkx1_2	988	818.816	17	1.26297
ghsr(4of4)	2292	2122.82	3	0.0859688
cdhr5(3of3)	3497	3327.82	87.6596	1.6024
kdm2a(3of3)	3877	3707.82	1462.81	23.9995
fgf20(2of2)	1818	1648.82	56	2.06608
fgf4	924	754.894	1	0.0805836
cdh23(2of3)	6397	6227.82	353	3.44803
cdh23(3of3)	5108	4938.82	28	0.34488
ppp2r2b	3395	3225.82	244	4.60132
kdm6b(2of2)	8093	7923.82	6267	48.1125
sphk1(3of3)	4203	4033.82	135.825	2.04832
sirt1	2233	2063.82	1121	33.042
fgf3	1999	1829.82	76	2.52661
rps11	604	435.341	14361	2006.72
myo19	3063	2893.82	321	6.74786
fgf17	720	551.012	106	11.7025
rpl13	948	778.816	29367	2293.81
lect1(2of2)	1771	1601.82	0	0
rnaseh2a(1of2)	879	709.894	464	39.761
rnaseh2a(2of2)	1087	917.816	458.388	30.3815
rpl32	525	357.057	19978	3403.66
creb1(5of5)	1396	1226.82	109	5.40479
prkab1(2of2)	1730	1560.82	2422	94.3962
slc1a2(3of3)	3930	3760.82	136	2.19983
gabrb3(3of3)	1853	1683.82	3	0.108382
c12orf65	699	530.066	359	41.1999
setd1b(3of3)	7551	7381.82	869	7.16125
prdm2(2of2)	6595	6425.82	1475	13.9636
hoxa7	996	826.816	47.9738	3.52961
trpc7(1of2)	3233	3063.82	4	0.0794199
xcr1(2of4)	1090	920.816	0	0
cep112	3057	2887.82	757	15.9463
idh2(2of2)	1777	1607.82	10078	381.303
grb7	2726	2556.82	67	1.59407
ttc30a1	1814	1644.82	379	14.017
ppp1r13b(1of2)	4651	4481.82	775	10.5191
bcl9l(1of2)	5353	5183.82	499.897	5.86629
hipk2(5of6)	4244	4074.82	4	0.0597151
bloc1s4	1673	1503.82	415	16.7875
bphl	1251	1081.82	77	4.32982
fam184a(1of2)	4461	4291.82	147	2.08357
zfp330	1254	1084.82	2398	134.47
gfra1(5of7)	2172	2002.82	136	4.13076
st6galnac6	2249	2079.82	266	7.78017
chrnb1(2of2)	2987	2817.82	178	3.84273
cldn19(2of4)	1795	1625.82	1	0.0374163
pnp(3of5)	1943	1773.82	115	3.94386
cops4	1687	1517.82	1700	68.1337
LOC107372748	1209	1039.82	1896	110.921
gale	1368	1198.82	1335	67.7424
lcp2(1of2)	1717	1547.82	30	1.17906
acaa2	1760	1590.82	2935	112.233
exosc9	1497	1327.82	1574	72.1106
wdr73	2271	2101.82	628	18.176
chrna4	2777	2607.82	13.4989	0.314886
prpf39(1of2)	3001	2831.82	6056	130.093
zcchc8	2425	2255.82	811	21.87
anapc15	1978	1808.82	1066	35.8505
csf1r(2of2)	4048	3878.82	135	2.11722
capsl	951	781.816	35	2.7233
rpusd4	1375	1205.82	235	11.8555
hist1h1b(1of6)	1338	1168.82	15819	823.313
tmem100(1of2)	1399	1229.82	126	6.2325
trerf1(1of2)	1993	1823.82	3	0.100063
msh6	5452	5282.82	5470	62.9875
znf235(31of148)	2101	1931.82	223.216	7.02898
fam83h(1of2)	7544	7374.82	1570	12.9503
pcdh1(2of2)	4943	4773.82	28	0.3568
lsamp	1957	1787.82	12	0.408311
huwe1	14690	14520.8	32212	134.946
tapbp	1820	1650.82	101	3.72182
ccdc90b	1162	992.816	578	35.4153
txn2	931	761.894	618	49.3431
LOC107396618	1471	1301.82	1	0.0467286
zscan22(1of6)	1284	1114.82	521.182	28.4393
tmem229a	3057	2887.82	34	0.716212
tnfaip8l3	1407	1237.82	43.682	2.14674
trim33(2of2)	4263	4093.82	2675	39.7491
tnmd	1121	951.816	42	2.68428
sgms2(1of2)	1664	1494.82	19	0.773211
c11orf31	669	500.117	97	11.7987
hspd1	2406	2236.82	13559	368.748
