"preD"	"Dd3"	"Dd6"	"Dd30"	"NonD"
"col11a2"	-0.775716957450659	0.496864261454934	-0.314269207521818	-0.902757016212985	1.49587891973053
"runx2(2of2)"	-0.719519057054545	0.837212015177063	1.32134515598657	-0.719519057054545	-0.719519057054545
"gtf2ird2(3of3)"	0.06815949836188	1.08604380266601	-1.41575554768949	0.754191948359884	-0.492639701698281
"mt_nd4"	1.24568528279061	-0.615587661069441	-0.834181494985555	-0.720343656486479	0.924427529750863
"mt_co1"	1.515607821765	0.485969776268075	-0.432979751979344	-0.627701923993637	-0.940895922060092
"hoxb9(2of2)"	-0.333925740693459	0.287442085799778	0.881572338757737	0.740042437448186	-1.57513112131224
"mt_nd2"	1.14036664572308	-0.78478025964957	-0.710510898837841	-0.693133061529316	1.04805757429365
"mt_cyb"	1.34858144568209	-0.565002673928576	-0.775520667963365	-0.797954517495867	0.789896413705718
"mt_nd1"	1.13224933436929	-0.700743232449865	-0.718043106921585	-0.770605869603918	1.05714287460607
"sox11(2of2)"	0.743970205809482	-0.224852250686706	-0.466441599456607	-1.28669420556932	1.23401784990316
"mt_co2"	1.33331271725306	0.346153184656937	-0.636754590778379	-1.28075519556596	0.238043884434345
"mt_nd5"	1.265196634661	-0.832978529415421	-0.837990470611198	-0.475667650882744	0.88144001624836
"zmym1(14of14)"	0.552734111857194	-1.0168367705652	1.25524159083735	0.22569783843586	-1.0168367705652
"sphk1(2of3)"	-1.29207125474775	0.435389958961387	-0.420004384459752	1.39650529311451	-0.119819612868395
"smdt1(2of2)"	-1.11523370541259	0.444479706344105	0.867233682543421	0.847089513517337	-1.04356919699227
"smc6(2of2)"	0.947314202063218	-1.61321399042644	0.706522287456385	-0.0286054424806444	-0.0120170566125236
"sebox(2of2)"	0.653892075079935	1.44871449576219	-0.700868856947375	-0.700868856947375	-0.700868856947375
"rpl38"	-0.403150416678451	-0.918528474267018	-0.4567121321191	0.1133566441089	1.66503437895567
"ppp1r3a(4of4)"	-0.84229921261815	0.719860496604771	0.908433354635322	0.512040789297051	-1.29803542791899
"poln"	0.533398162666068	0.455798068190709	-1.74545230153948	0.0821811127974544	0.674074957885246
"pla2r1(3of3)"	-1.24106750493574	-0.460815200947161	-0.357153158733117	1.03326453663984	1.02577132797618
"pde4d(3of3)"	-1.07198013515542	0.224580638697109	0.455555642069312	1.31755475045311	-0.925710896064112
"pcsk7(2of2)"	-0.447213595499958	-0.447213595499958	1.78885438199983	-0.447213595499958	-0.447213595499958
"nlrc3(24of24)"	1.78885438199983	-0.447213595499958	-0.447213595499958	-0.447213595499958	-0.447213595499958
"necab1(4of4)"	-0.614872809776758	-0.490540139997711	0.0748727347754617	1.70789102486394	-0.677350809864938
"mt_nd6"	1.24491791025587	-0.991924666687099	-1.0078702139374	0.0897382383968336	0.665138731971802
"mt_nd4l"	1.6807398850165	0.105556278763895	-0.742138309833141	-0.706563652664386	-0.337594201282866
"mt_nd3"	1.24118287895803	-0.416391798341471	-0.688074113401757	-1.0179086879567	0.881191720741898
"mt_co3"	1.19347912633428	-0.426158064908169	-0.657180134773234	-1.04402082540624	0.933879898753363
"mt_atp8"	1.02375116213454	-1.16113206722667	-0.54966191842287	-0.386397671172265	1.07344049468727
"mt_atp6"	1.23380932039241	-0.670416484740697	-0.968184131789961	-0.507867608806882	0.912658904945132
"klhl38(2of2)"	-1.0512264077544	0.955022671396045	0.93000457309204	0.20371794790922	-1.0375187846429
"ins"	-0.098059364162776	-0.945832756816598	0.758470849597529	-0.970791514388927	1.25621278577077
"hoxa2b"	-0.596502727195941	0.166391024054777	0.735441362070031	1.07798772633829	-1.38331738526716
"gtf2ird2(2of3)"	0.252046187078606	-1.16986944778117	1.23156261149486	0.550914026937234	-0.864653377729528
"fzd3(4of4)"	-1.37372043660003	0.505346579147394	-0.156083659930937	1.32105453895975	-0.296597021576178
"fgfbp1(3of3)"	-1.11709110145744	1.00961189279586	0.784367585080284	0.32806532086749	-1.00495369728619
"fgf11(2of2)"	0.580652273668341	0.877653053382799	-1.66235055413938	-0.130723452776444	0.334768679864683
"elovl4(6of6)"	-0.447213595499958	-0.447213595499958	1.78885438199983	-0.447213595499958	-0.447213595499958
"deptor(3of3)"	-0.0432892381993937	1.2381895317919	-0.974072596533167	-0.974072596533167	0.753244899473829
"cdkn1c(2of2)"	-0.160276887688337	0.926181955658989	0.323040667944305	-1.64430049610087	0.555354760185915
"adh5(4of4)"	1.27208636509878	-1.05337684537183	-0.974905252270979	0.244237383866241	0.511958348677797
"a2ml1(4of4)"	0.984713092193688	-1.59587216589857	-0.128089433027185	0.0582714984669127	0.680977008265152
"glipr2(2of2)"	1.64196839918461	-0.042096020862792	-0.108272158989148	-0.447463694240858	-1.04413652509181
"pax6(4of4)"	1.43049999131541	-0.823518062010186	-0.953846266880932	-0.217405163874976	0.564269501450684
"fgf22"	0.568896278749974	0.180825474772129	-1.67259122416619	0.00303876096326943	0.919830709680818
"cdk14(3of3)"	0.985271247094579	-0.670025209142941	-0.551630685915322	-0.942013204258269	1.17839785222195
"ccni2"	-1.24295053724598	0.734986872740911	0.886561986471933	0.537752335921479	-0.916350657888345
"polq"	0.9500974274655	-0.827667806393208	-0.897771748109385	-0.420323076899908	1.195665203937
"fgf12(2of2)"	0.0554693284405528	-0.0100191673585641	0.22690442967918	1.26172267209302	-1.53407726285419
"vps52"	-0.796369058210925	0.22365139613395	0.843355659551585	0.997797311443464	-1.26843530891807
