sample	condition	Lib
D239	0WT	0D239
D2310	0WT	0D2310
D2317	0WT	0D2317
D2318	0WT	0D2318
D2325	0WT	0D2325
D2326	0WT	0D2326
D2333	0WT	0D2333
D2334	0WT	0D2334
D2335	0WT	0D2335
D2336	0WT	0D2336
D2337	0WT	0D2337
BLEBB5	BLEBB	BLEBB5
BLEBB6	BLEBB	BLEBB6
BLEBB7	BLEBB	BLEBB7
BLEBB8	BLEBB	BLEBB8
BLEBB13	BLEBB	BLEBB13
BLEBB14	BLEBB	BLEBB14
BLEBB16	BLEBB	BLEBB16
BLEBB21	BLEBB	BLEBB21
BLEBB22	BLEBB	BLEBB22
BLEBB23	BLEBB	BLEBB23
BLEBB24	BLEBB	BLEBB24
BLEBB29	BLEBB	BLEBB29
BLEBB30	BLEBB	BLEBB30
BLEBB31	BLEBB	BLEBB31
BLEBB32	BLEBB	BLEBB32
BLEBB41	BLEBB	BLEBB41
BLEBB42	BLEBB	BLEBB42
