Condition,FDR,DE,,,,,,
D3d,0.944726715,0.090599233,,,,,,
D3d,0.591778402,-0.367520708,,,,,,
D3d,4.95E-26,2.119319204,,,,,,
D3d,0.000456724,0.624974082,,,,,,
D3d,0.049933411,0.775550714,,,,,,
D3d,1.25E-35,-3.279602013,,,,,,
D3d,0.000309984,0.482300064,,,,,,
D3d,0.001960783,-1.049996557,,,,,,
D3d,1.14E-06,-1.492001086,,,,,,
D3d,3.16E-17,1.834432181,,,,,,
D3d,0.746274559,-0.055716169,,,,,,
D3d,0.282780304,0.202743921,,,,,,
D3d,2.98E-54,2.283836081,,,,,,
D3d,0.290488108,-0.176091138,,,,,,
D3d,6.03E-27,2.927284474,,,,,,
D3d,0.027617289,-0.524752737,,,,,,
D3d,0.305303343,0.139262204,,,,,,
D3d,1.79E-08,0.837162637,,,,,,
D3d,4.77E-15,-2.170489238,,,,,,
D3d,0.068954618,-0.875720585,,,,,,
D3d,3.81E-36,1.910662272,,,,,,
D3d,0.61416147,0.072371111,,,,,,
D3d,3.83E-15,-1.863882185,,,,,,
D3d,0.022340746,0.611126737,,,,,,
D3d,0.059335357,0.61220834,,,,,,
D3d,4.14E-16,1.344115696,,,,,,
D3d,8.21E-22,2.564877474,,,,,,
D3d,0.000643809,-0.711906932,,,,,,
D3d,4.23E-10,2.249754182,,,,,,
D3d,0.003110387,0.44759063,,,,,,
D3d,1.56E-06,1.109744333,,,,,,
D3d,0.171830585,-0.197040292,,,,,,
D3d,0.043673279,0.354706151,,,,,,
D3d,4.72E-08,-1.32384005,,,,,,
D3d,9.10E-10,-1.137150489,,,,,,
D3d,5.99E-30,-1.77811253,,,,,,
D3d,2.28E-09,-2.048685401,,,,,,
D3d,1.61E-12,-1.414848769,,,,,,
D3d,0.569119445,-0.157891207,,,,,,
D3d,5.35E-16,-1.529629561,,,,,,
D3d,0.132573305,0.707880276,,,,,,
D3d,0.887141309,0.02988703,,,,,,
D3d,0.008387087,-1.227756066,,,,,,
D3d,0.261435136,0.302844957,,,,,,
D3d,0.309561757,-0.358180315,,,,,,
D3d,0.004845958,0.894688765,,,,,,
D3d,1.57E-42,1.69424288,,,,,,
D3d,3.65E-07,-1.62630243,,,,,,
D3d,0.000137872,-0.853922674,,,,,,
D3d,0.317826029,0.267961657,,,,,,
D3d,3.80E-07,-0.664134481,,,,,,
D3d,1.39E-12,-1.175722885,,,,,,
D3d,2.66E-96,-4.116297683,,,,,,
D3d,1.82E-38,-2.989060295,,,,,,
D3d,1.65E-06,1.595175156,,,,,,
D3d,0.894965236,0.078421336,,,,,,
D3d,0.000745582,-0.544781859,,,,,,
D3d,0.002216035,-1.049006768,,,,,,
D3d,0.002230279,-0.605153803,,,,,,
D3d,0.462885205,0.184446086,,,,,,
D3d,0.005607212,-1.554801461,,,,,,
D3d,6.78E-10,-2.604335373,,,,,,
D3d,0.692686325,0.078216847,,,,,,
D3d,5.44E-17,1.216327745,,,,,,
D3d,0.023370676,-1.545204889,,,,,,
D3d,1.90E-23,-2.579741673,,,,,,
D3d,0.000315501,-1.647428543,,,,,,
D3d,2.19E-09,-1.500544841,,,,,,
D3d,1.80E-11,-1.428935919,,,,,,
D3d,0.005811913,0.489981682,,,,,,
D3d,7.88E-07,0.790879575,,,,,,
D3d,2.90E-06,0.652243235,,,,,,
D3d,0.727846569,0.108623902,,,,,,
D3d,0.357711892,0.23472078,,,,,,
D3d,0.28923415,0.377500207,,,,,,
D3d,5.53E-07,1.287108975,,,,,,
D3d,3.07E-25,2.67265313,,,,,,
D3d,0.030722735,-1.043706264,,,,,,
D3d,0.00125408,-0.528568023,,,,,,
D3d,0.227670494,0.193458138,,,,,,
D3d,0.009854313,0.344840118,,,,,,
D3d,1.31E-12,3.085719491,,,,,,
D3d,0.816267627,0.106170288,,,,,,
D3d,0.011894181,-0.34001285,,,,,,
D3d,9.61E-05,-0.561567966,,,,,,
D3d,7.24E-18,2.332436517,,,,,,
D3d,0.001623719,1.126188037,,,,,,
D3d,1.62E-15,2.07926504,,,,,,
D3d,2.17E-05,1.321946905,,,,,,
D3d,4.40E-07,1.918486341,,,,,,
D3d,0.018567192,-0.361529492,,,,,,
D3d,0.276109458,-1.188024747,,,,,,
D3d,5.68E-07,-2.659029126,,,,,,
D3d,3.59E-08,-0.712761146,,,,,,
D3d,4.42E-19,1.363334011,,,,,,
D3d,2.73E-15,2.203013426,,,,,,
D3d,0.00738754,0.460846076,,,,,,
D3d,0.05037714,-0.439860673,,,,,,
D3d,0.699336756,0.110083426,,,,,,
D3d,2.28E-14,1.801791502,,,,,,
D3d,1.52E-07,0.754835185,,,,,,
D3d,2.39E-08,-0.753596436,,,,,,
D3d,0.700395387,-0.069450179,,,,,,
D3d,5.14E-16,0.981568793,,,,,,
D3d,0.156045597,0.381068121,,,,,,
D3d,0.000235885,0.504297038,,,,,,
D3d,0.000133643,-0.541495364,,,,,,
D3d,0.002685632,-1.117369732,,,,,,
D3d,0.281742115,0.272367858,,,,,,
D3d,0.085023811,-0.246181001,,,,,,
D3d,6.80E-06,-0.843350047,,,,,,
D3d,0.059552575,0.257175681,,,,,,
D3d,4.64E-22,-1.723281469,,,,,,
D3d,5.29E-12,0.825816391,,,,,,
D3d,0.121815996,0.583196544,,,,,,
D3d,2.86E-06,0.575267075,,,,,,
