kegg_id	gene_id
05224	fgf6(2of4)
05224	fgf6(4of4)
05224	ncoa3(1of2)
05224	ncoa3(2of2)
05224	mapk1
05224	ccnd1
05224	raf1
05224	mtor
05224	wnt9b
05224	fgf18(1of2)
05224	fgf18(2of2)
05224	e2f2
05224	hes5(1of5)
05224	hes5(2of5)
05224	hes5(3of5)
05224	hes5(4of5)
05224	hes5(5of5)
05224	wnt5b
05224	notch2(1of3)
05224	notch2(3of3)
05224	fgf2
05224	pik3cb(1of2)
05224	pik3cb(2of2)
05224	fgf20(1of2)
05224	fgf20(2of2)
05224	jag2(1of2)
05224	jag2(2of2)
05224	fgf11(1of2)
05224	fgf11(2of2)
05224	fos(1of4)
05224	fos(2of4)
05224	fos(3of4)
05224	fos(4of4)
05224	hey1(1of2)
05224	hey1(2of2)
05224	tcf7l2
05224	wnt16
05224	wnt7b(1of2)
05224	wnt7b(2of2)
05224	fgf21(1of2)
05224	fgf21(2of2)
05224	fzd2(2of2)
05224	sos2
05224	esr2(1of2)
05224	esr2(2of2)
05224	braf
05224	dll1(1of5)
05224	dll1(2of5)
05224	dll1(3of5)
05224	dll1(4of5)
05224	dll1(5of5)
05224	tcf7(3of4)
05224	tcf7l1(1of4)
05224	tcf7l1(2of4)
05224	tcf7l1(3of4)
05224	tcf7l1(4of4)
05224	dll4(1of2)
05224	dll4(2of2)
05224	fgf14(1of3)
05224	fgf14(2of3)
05224	fgf14(3of3)
05224	hras(1of2)
05224	hras(2of2)
05224	cdkn1a
05224	wnt9a
05224	wnt1
05224	wnt8a(1of2)
05224	wnt8a(2of2)
05224	lef1(1of2)
05224	lef1(2of2)
05224	wnt3
05224	ncoa1
05224	axin2(1of2)
05224	axin2(2of2)
05224	dvl1
05224	wnt2b(1of2)
05224	wnt2b(2of2)
05224	egf
05224	fzd4
05224	fgf8(1of2)
05224	fgf8(2of2)
05224	wnt3a
05224	fgfr1(1of2)
05224	fgfr1(2of2)
05224	fzd5
05224	cdk4
05224	fgf12(1of2)
05224	fgf12(2of2)
05224	wnt11
05224	fgf16
05224	hey2(1of2)
05224	fgf1(1of2)
05224	fgf1(2of2)
05224	hey2(2of2)
05224	fgf5
05224	shc2
05224	map2k1
05224	myc(1of2)
05224	myc(2of2)
05224	brca2
05224	rps6kb2
05224	map2k2
05224	pik3r3(1of2)
05224	pik3r3(2of2)
05224	akt2
05224	gsk3b
05224	fzd7(1of2)
05224	fzd7(2of2)
05224	fzd2(1of2)
05224	tcf7(1of4)
05224	tcf7(2of4)
05224	tcf7(4of4)
05224	fgf3
05224	frat2
05224	fgf7
05224	fgf23
05224	pik3ca(1of3)
05224	pik3ca(2of3)
05224	pik3ca(3of3)
05224	apc
05224	fzd9
05224	fgf22
05224	fgf10(1of2)
05224	fgf10(2of2)
05224	shc1(1of2)
05224	brca1
05224	kras
05224	cdk6(1of2)
05224	cdk6(2of2)
05224	e2f3(1of3)
05224	e2f3(2of3)
05224	e2f3(3of3)
05224	flt4
05224	wnt7a(1of2)
