kegg_id	pathway_name	gene_id
05224	Breast cancer	fgf6(2of4)
05224	Breast cancer	fgf6(4of4)
05224	Breast cancer	ncoa3(1of2)
05224	Breast cancer	ncoa3(2of2)
05224	Breast cancer	mapk1
05224	Breast cancer	ccnd1
05224	Breast cancer	raf1
05224	Breast cancer	mtor
05224	Breast cancer	wnt9b
05224	Breast cancer	fgf18(1of2)
05224	Breast cancer	fgf18(2of2)
05224	Breast cancer	e2f2
05224	Breast cancer	hes5(1of5)
05224	Breast cancer	hes5(2of5)
05224	Breast cancer	hes5(3of5)
05224	Breast cancer	hes5(4of5)
05224	Breast cancer	hes5(5of5)
05224	Breast cancer	wnt5b
05224	Breast cancer	notch2(1of3)
05224	Breast cancer	notch2(3of3)
05224	Breast cancer	fgf2
05224	Breast cancer	pik3cb(1of2)
05224	Breast cancer	pik3cb(2of2)
05224	Breast cancer	fgf20(1of2)
05224	Breast cancer	fgf20(2of2)
05224	Breast cancer	jag2(1of2)
05224	Breast cancer	jag2(2of2)
05224	Breast cancer	fgf11(1of2)
05224	Breast cancer	fgf11(2of2)
05224	Breast cancer	fos(1of4)
05224	Breast cancer	fos(2of4)
05224	Breast cancer	fos(3of4)
05224	Breast cancer	fos(4of4)
05224	Breast cancer	hey1(1of2)
05224	Breast cancer	hey1(2of2)
05224	Breast cancer	tcf7l2
05224	Breast cancer	wnt16
05224	Breast cancer	wnt7b(1of2)
05224	Breast cancer	wnt7b(2of2)
05224	Breast cancer	fgf21(1of2)
05224	Breast cancer	fgf21(2of2)
05224	Breast cancer	fzd2(2of2)
05224	Breast cancer	sos2
05224	Breast cancer	esr2(1of2)
05224	Breast cancer	esr2(2of2)
05224	Breast cancer	braf
05224	Breast cancer	dll1(1of5)
05224	Breast cancer	dll1(2of5)
05224	Breast cancer	dll1(3of5)
05224	Breast cancer	dll1(4of5)
05224	Breast cancer	dll1(5of5)
05224	Breast cancer	tcf7(3of4)
05224	Breast cancer	tcf7l1(1of4)
05224	Breast cancer	tcf7l1(2of4)
05224	Breast cancer	tcf7l1(3of4)
05224	Breast cancer	tcf7l1(4of4)
05224	Breast cancer	dll4(1of2)
05224	Breast cancer	dll4(2of2)
05224	Breast cancer	fgf14(1of3)
05224	Breast cancer	fgf14(2of3)
05224	Breast cancer	fgf14(3of3)
05224	Breast cancer	hras(1of2)
05224	Breast cancer	hras(2of2)
05224	Breast cancer	cdkn1a
05224	Breast cancer	wnt9a
05224	Breast cancer	wnt1
05224	Breast cancer	wnt8a(1of2)
05224	Breast cancer	wnt8a(2of2)
05224	Breast cancer	lef1(1of2)
05224	Breast cancer	lef1(2of2)
05224	Breast cancer	wnt3
05224	Breast cancer	ncoa1
05224	Breast cancer	axin2(1of2)
05224	Breast cancer	axin2(2of2)
05224	Breast cancer	dvl1
05224	Breast cancer	wnt2b(1of2)
05224	Breast cancer	wnt2b(2of2)
05224	Breast cancer	egf
05224	Breast cancer	fzd4
05224	Breast cancer	fgf8(1of2)
05224	Breast cancer	fgf8(2of2)
05224	Breast cancer	wnt3a
05224	Breast cancer	fgfr1(1of2)
05224	Breast cancer	fgfr1(2of2)
05224	Breast cancer	fzd5
