"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"phc1(1of3)",0.00012107049787569,0.00631346131522954,0.00323292608643677,0.00121476586252809,0.0505680747964963
"thrap3(2of4)",0.00747643533251356,0.000191844067011158,8.90118425410389e-07,0.0071044863758971,0.00170244153829305
"szrd1(1of2)",0.00758041773830964,0.00106500761702815,0.000761245958461252,0.000620895478179725,0.00111492762435604
"apbb3",0.00487052802585326,6.15610820191419e-06,3.58148859712752e-05,0.00371897522875034,0.0199843283581123
"LOC107372725",0.0066585375931487,8.2578970416439e-05,0.00214704221351886,0.00172141818411524,0.00335293808526319
"plk3",0.00592557842075978,0.00372712650241269,0.00289627498175254,4.60071858488919e-06,0.0122700319288312
"ofcc1",0.00243018245743358,0.00399732539922079,0.00501372489552591,0.0322021360906287,0.00424146446580449
"hic2(1of3)",0.00747555867981319,0.00120904481898792,0.00159236922326801,3.85676690663012e-05,0.000598429381840291
"asxl3",0.00337724185828985,2.95625063030186e-05,0.00267445891703888,0.0015928595009136,0.00192392001052679
"gimap7(10of11)",0.00174708074424934,0.00495498378724283,0.0014551833079833,0.0125419453182618,0.0237051106661417
"pagr1",0.00779182893221166,3.30948971218167e-05,0.000353265843541816,0.002557173703229,0.00174725519728723
"tanc2(2of3)",0.00512361507942,0.00141934012545486,0.000587864032844728,0.0296979887581886,0.00411128435096206
"htra2",0.00772195998832581,7.36765240275033e-06,0.000107162881222975,0.00144202807818461,0.00104945767375668
"rab3d(2of2)",0.00804204735066926,0.000541800672038837,0.000178737353077077,0.000673002957535495,0.000101405212295374
"mtnr1a(4of4)",0.00336352016067317,1.51159107151786e-06,0.000142769750743884,0.000198479490463554,0.0027919078694605
"aurka",0.00827103965391571,2.06493588058235e-05,4.99792227086988e-05,0.000190738794065883,0.00010370802291916
"stip1(1of4)",0.00780409557994946,0.000332004751716553,0.000337438801062106,0.000242102058715709,0.00248288565734535
"sla2",0.0028039722792997,6.19524172268883e-05,8.74730616199421e-05,0.0316810785578492,0.0132441343415428
"tbc1d16",0.00398140357767162,0.00933701697526168,0.00142335004245701,0.00615289803435693,0.00421931623576061
"atp5f1",0.00804573751952031,0.000392933443714182,7.10030564426625e-05,0.000528932566420182,0.00194793551515447
"oaf",0.000637581275633065,0.00034830302361363,0.0480834962844186,2.6837749063251e-07,0.00411305322502521
"dusp3(2of2)",0.00826026904552379,0.000307342666628105,1.08958283120043e-05,0.000123295738198013,4.71068627867699e-05
"usp30",0.00762473060011704,0.00199184771299526,4.6628303547487e-05,0.00140829983891219,0.000418522572336878
"swap70(3of3)",0.00345048080301963,0.00805328962315031,5.38416311752233e-06,0.00301720967513156,0.0216074831083976
"pnn",0.00775851402571688,0.00122729453788424,0.000208117364764862,0.00287293116041425,2.50108470015533e-05
"cd58",5.30873417049041e-07,0.00122896185092875,0.000385089839635761,0.0039186575065422,0.00286316414902551
"tyw5",0.00697446844258717,0.00172429014389698,0.00283693996889846,0.00120553636833175,0.00168947807100771
"adarb1(3of3)",0.0080791779289147,0.000108792565092958,0.000580679764658581,0.000168372075925421,0.00167466413592559
"hmgxb4(2of2)",0.00741306023442754,0.00161220134438021,0.000867966005051827,2.2767166562068e-07,0.00268758952489032
"unc13b(3of3)",0.00752200180926348,1.6844043777031e-06,0.000140249943984433,0.00108149409312111,1.08017358379955e-05
"tubgcp6",0.00812756815582068,0.000213843268699571,0.00024484148335472,2.62524230581186e-05,0.000370020408263194
"ptprb(3of3)",0.00181403936929514,0.0100104284172922,0.0251543826850141,0.00262840393417598,7.76628046340412e-05
"cxcr3(3of3)",2.02097929549974e-05,0.00355832385032509,0.0057944243028177,0.000804120277006157,6.3132635494177e-05
"gal3st1(1of2)",0.00569390154627557,0.000640699009924759,0.000495641493613789,0.00869107200275585,0.000257587938178834
"abtb2(2of2)",0.00476977125606624,0.00382023001720201,0.0109858045701589,0.0103319017492952,9.85355859193699e-05
"med26(2of2)",0.00780847383785644,0.00153677892494297,0.000125801635957192,0.00168560760338368,0.00125168552583813
"fbp1(1of2)",0.00110564939153547,0.0306666948094505,0.00356456923322387,0.00255831544651364,0.00131356711606428
"pitpnc1(3of3)",0.00195490428812173,0.00102907669706569,0.00472280852057077,0.00051836597866019,1.64162796174468e-07
"casp8(3of3)",0.00821229280351587,1.3622501051241e-05,3.29866586850513e-06,0.000763645689967579,0.000610803018710154
"hsd17b6(2of2)",0.00770978977031254,0.00057457208177044,8.61618144974055e-05,0.00420799802431135,1.60085314335265e-05
"cdkl1(1of2)",0.00686258419238393,0.00667713431947039,0.000155624063566286,6.21813293275949e-05,0.000148879976247672
"prss1(3of10)",0,0,0,0,0
"gas1(1of3)",0.00621718709443955,0.00942353167025372,0.000769628516150407,9.74981440364402e-05,0.000718547356776838
"tpbg(2of4)",1.61630781126269e-06,0.00518004961724896,0.0100356272079419,0.000353490304660745,0.0241582142532442
"pbld(2of2)",0.00395234206926216,0.0167221488730795,3.73315504346815e-05,0.0025894312001848,0.00181446769521095
"slbp(2of2)",2.09501800348433e-05,0.000399698316101663,0.00898105842081189,0.0154841973747194,0.0137529538030457
"dlgap2(2of2)",0.00688123787651437,0.000163100935333911,0.00645682892899003,0.00119352019953824,0.00027737914221873
"tfdp1",0.00815333815986482,0.000590787611892145,5.43887320380431e-06,0.00038665713848712,0.000133095302545958
"ppp2r3a(1of2)",0.00631081780236579,0.00393344163142843,0.000340997033306732,0.00374189398271988,0.00275177328481445
"gabarapl1",0.00425280910284405,0.00339204587356728,0.0112377135103125,0.000665631665168364,0.000378175969335581
