id,b_D3d,b_D6d,b_D1m,b_NonD,GO
a1cf,NonDE,NonDE,NonDE,NonDE,.
a2m,NonDE,NonDE,NonDE,NonDE,.
a2ml1(2of4),UP,UP,NonDE,NonDE,.
a3galt2(1of3),NonDE,NonDE,NonDE,NonDE,.
a3galt2(2of3),NonDE,NonDE,NonDE,UP,.
aaas,DN,DN,DN,NonDE,.
aacs,NonDE,NonDE,NonDE,NonDE,.
aadat,DN,NonDE,NonDE,NonDE,.
aaed1(1of2),DN,DN,NonDE,NonDE,.
aaed1(2of2),UP,UP,UP,DN,.
aagab,NonDE,NonDE,NonDE,NonDE,.
aak1,NonDE,NonDE,NonDE,NonDE,.
aamdc,UP,UP,UP,NonDE,.
aamp,NonDE,NonDE,NonDE,NonDE,.
aanat(3of3),UP,UP,UP,NonDE,.
aar2,NonDE,NonDE,NonDE,NonDE,.
aars,NonDE,NonDE,NonDE,NonDE,.
aars2,NonDE,UP,UP,NonDE,.
aarsd1,DN,DN,DN,NonDE,.
aasdh,NonDE,NonDE,NonDE,NonDE,.
aasdhppt,UP,UP,UP,NonDE,.
aass,NonDE,NonDE,NonDE,NonDE,.
aatf,DN,NonDE,NonDE,NonDE,.
aatk(2of2),NonDE,NonDE,UP,NonDE,.
abat,NonDE,NonDE,UP,NonDE,.
abca1(1of5),UP,UP,UP,NonDE,.
abca1(2of5),UP,UP,UP,NonDE,.
abca1(5of5),NonDE,NonDE,NonDE,NonDE,.
abca12(2of2),UP,UP,UP,NonDE,.
abca3,NonDE,NonDE,NonDE,NonDE,.
abca4(1of2),UP,UP,NonDE,NonDE,.
abca5,NonDE,NonDE,NonDE,NonDE,.
abcb10,NonDE,UP,NonDE,NonDE,.
abcb11(1of2),DN,DN,NonDE,NonDE,.
abcb6,DN,NonDE,NonDE,NonDE,.
abcb7,DN,DN,NonDE,NonDE,.
abcb8,DN,DN,DN,NonDE,.
abcc1(2of3),DN,NonDE,NonDE,NonDE,.
abcc1(3of3),NonDE,NonDE,NonDE,NonDE,.
abcc10,DN,DN,DN,NonDE,.
abcc12,NonDE,NonDE,NonDE,UP,.
abcc3,NonDE,NonDE,NonDE,NonDE,.
abcc4,DN,DN,DN,NonDE,.
abcc5,NonDE,UP,NonDE,NonDE,.
abcc8,NonDE,NonDE,NonDE,NonDE,.
abcc9,NonDE,NonDE,NonDE,NonDE,.
abcd1,UP,UP,UP,NonDE,.
abcd2,DN,DN,DN,NonDE,.
abcd3(2of2),NonDE,NonDE,NonDE,NonDE,.
abcd4,NonDE,NonDE,NonDE,NonDE,.
abce1,NonDE,NonDE,NonDE,NonDE,.
abcf1,DN,NonDE,NonDE,NonDE,.
abcf2,DN,DN,DN,NonDE,.
abcf3,DN,DN,DN,NonDE,.
abcg1(1of2),UP,UP,UP,NonDE,.
abcg2(1of3),NonDE,NonDE,NonDE,NonDE,.
abhd10,NonDE,NonDE,NonDE,NonDE,.
abhd11,DN,NonDE,NonDE,NonDE,.
abhd12(1of3),NonDE,NonDE,NonDE,NonDE,.
abhd12(2of3),NonDE,NonDE,NonDE,NonDE,.
abhd12(3of3),DN,DN,DN,NonDE,.
abhd13,DN,DN,DN,NonDE,.
abhd14a,NonDE,NonDE,NonDE,NonDE,.
abhd14b,UP,UP,UP,NonDE,.
abhd15(1of2),NonDE,DN,DN,NonDE,.
abhd16a,DN,DN,DN,NonDE,.
abhd17b,DN,DN,DN,NonDE,.
abhd17c(1of2),DN,DN,DN,NonDE,.
abhd17c(2of2),DN,DN,DN,NonDE,.
abhd18,NonDE,NonDE,NonDE,NonDE,.
abhd2(1of2),NonDE,NonDE,NonDE,NonDE,.
abhd2(2of2),NonDE,NonDE,NonDE,NonDE,.
abhd3(1of2),NonDE,NonDE,NonDE,NonDE,.
abhd4,NonDE,UP,NonDE,NonDE,.
abhd5(1of2),NonDE,NonDE,NonDE,NonDE,.
abhd5(2of2),UP,UP,UP,NonDE,.
abhd8(1of2),UP,UP,UP,NonDE,.
abi1(1of4),NonDE,NonDE,NonDE,NonDE,.
abi1(3of4),NonDE,NonDE,NonDE,NonDE,.
abi1(4of4),NonDE,NonDE,NonDE,NonDE,.
abi2(1of2),NonDE,NonDE,UP,NonDE,.
abi2(2of2),UP,UP,UP,NonDE,.
abi3bp(1of2),NonDE,NonDE,NonDE,NonDE,.
abl1,NonDE,NonDE,NonDE,NonDE,.
abl2,NonDE,NonDE,NonDE,NonDE,.
ablim1(1of2),UP,UP,UP,NonDE,.
ablim1(2of2),UP,NonDE,UP,NonDE,.
ablim2,UP,UP,UP,NonDE,.
ablim3(1of3),UP,UP,NonDE,NonDE,.
ablim3(3of3),UP,UP,UP,NonDE,.
abr(2of2),NonDE,NonDE,NonDE,NonDE,.
abra(1of2),NonDE,NonDE,NonDE,NonDE,.
abracl,DN,DN,DN,NonDE,.
abt1,NonDE,NonDE,NonDE,NonDE,.
abtb1,UP,UP,UP,NonDE,.
abtb2(1of2),UP,UP,UP,NonDE,.
abtb2(2of2),NonDE,NonDE,NonDE,NonDE,.
ac004381.6,NonDE,NonDE,NonDE,NonDE,.
ac092835.2,NonDE,NonDE,NonDE,NonDE,.
ac111632.2(2of2),UP,UP,UP,NonDE,.
acaa1,NonDE,NonDE,UP,NonDE,.
acaa2,NonDE,DN,DN,NonDE,.
acaca,NonDE,NonDE,NonDE,NonDE,.
acacb,NonDE,UP,NonDE,NonDE,.
acad11(1of3),NonDE,NonDE,NonDE,NonDE,.
acad8,NonDE,NonDE,NonDE,NonDE,.
acad9,NonDE,NonDE,NonDE,NonDE,.
acadl,DN,DN,DN,NonDE,.
acadm,NonDE,NonDE,NonDE,NonDE,.
acads(1of2),NonDE,NonDE,NonDE,NonDE,.
acads(2of2),NonDE,NonDE,NonDE,NonDE,.
acadsb,NonDE,NonDE,NonDE,NonDE,.
acadvl(1of2),DN,NonDE,NonDE,NonDE,.
acadvl(2of2),NonDE,NonDE,NonDE,NonDE,.
acap2(1of3),NonDE,NonDE,NonDE,NonDE,.
acap2(2of3),NonDE,NonDE,NonDE,NonDE,.
acap2(3of3),NonDE,NonDE,NonDE,NonDE,.
acap3(1of3),NonDE,NonDE,UP,NonDE,.
acap3(2of3),NonDE,NonDE,NonDE,NonDE,.
acat1,NonDE,NonDE,NonDE,NonDE,.
acat2,DN,DN,DN,NonDE,.
acbd3,DN,DN,NonDE,NonDE,.
acbd4,NonDE,NonDE,NonDE,NonDE,.
acbd5(1of2),UP,UP,UP,NonDE,.
acbd5(2of2),NonDE,NonDE,NonDE,NonDE,.
acbd6,NonDE,NonDE,NonDE,NonDE,.
acbd7,NonDE,NonDE,DN,UP,.
accs,NonDE,NonDE,DN,NonDE,.
ace(1of6),NonDE,NonDE,DN,NonDE,.
ace(5of6),UP,UP,DN,DN,.
ace(6of6),UP,NonDE,NonDE,NonDE,.
ace2,NonDE,NonDE,NonDE,NonDE,.
acer2,NonDE,NonDE,NonDE,NonDE,.
acer3,NonDE,UP,UP,NonDE,.
ache(1of2),NonDE,NonDE,NonDE,NonDE,.
acin1(1of2),NonDE,NonDE,NonDE,NonDE,.
acin1(2of2),NonDE,NonDE,NonDE,NonDE,.
ackr3(2of3),NonDE,NonDE,DN,NonDE,.
ackr4(1of2),UP,NonDE,NonDE,NonDE,.
acly(1of2),DN,DN,DN,NonDE,.
acly(2of2),UP,UP,NonDE,NonDE,.
acmsd,NonDE,NonDE,NonDE,NonDE,.
aco1,NonDE,NonDE,NonDE,NonDE,.
aco2(1of2),DN,DN,DN,NonDE,.
aco2(2of2),NonDE,NonDE,NonDE,NonDE,.
acot1(1of2),NonDE,NonDE,UP,NonDE,.
acot1(2of2),NonDE,NonDE,NonDE,NonDE,.
acot11(1of2),UP,UP,UP,NonDE,.
acot11(2of2),UP,UP,NonDE,NonDE,.
acot13,NonDE,NonDE,UP,NonDE,.
acot7,NonDE,NonDE,NonDE,NonDE,.
acot8,NonDE,NonDE,NonDE,NonDE,.
