id,b_PreD,b_D3d,b_D6d,b_D1m,b_D4m,b_NonD
LOC107393831,0,5.249814815,7.399706828,5.591028239,4.680319407,1.25E-15
calcoco1(2of2),0,3.95841936,4.061136036,5.515166428,3.531064788,1.291329787
fam198b,0,5.056594116,4.024355506,3.20065146,3.914559715,2.464836899
trim39(2of27),0,4.730773813,4.113451345,2.114985393,3.735517414,3.361271972
ankk1(2of2),0,4.162765875,4.937125371,1.317955945,4.467274563,4.252611477
paqr5,0,5.197350194,3.429345563,1.952409054,4.347660759,4.77238153
psca,0,4.418953643,4.672167517,1.317955945,5.795969635,5.003720943
cd38(1of2),0,3.133295636,3.337880574,3.716840712,3.963830437,3.57235687
hspb1(2of3),0,4.392229532,2.826745496,0.343618977,7.268936576,7.283793
LOC107372784,0,4.383646963,5.544023318,4.097588597,3.361536154,1.983407601
apod(1of3),0,4.799786299,0.918883042,1.398814876,6.206659824,5.433497292
cecr5(3of3),0,3.358444213,3.649834982,1.000587589,3.320022893,3.074250375
elfn2(2of2),0,2.522242757,2.938697621,3.540829131,2.412654171,2.384672724
c8b,0,2.508119752,3.112074055,3.651562162,4.241141094,1.926407373
amigo3,0,5.396981006,6.218271447,8.400667281,5.879206863,0.889793354
ank1(2of3),0,2.320337572,3.100010578,0.894107537,3.449042642,3.536281539
dlx6(2of2),0,3.775985269,2.253869403,1.187775132,5.602501165,5.66849322
plaur(4of6),0,5.637442787,4.127784324,2.420192914,5.568205342,6.249730255
paqr8(2of2),0,3.09922595,2.905809879,3.389984719,2.266637408,3.272337862
slc4a2(2of2),0,2.632939447,3.923528589,3.028931342,3.17400613,0.462271382
c3orf18(2of3),0,3.105839661,3.22041443,1.336922159,3.476672258,2.698623211
bcap29(1of2),0,4.199802343,4.737553612,4.552082851,4.943562183,3.322643878
fbxo15(1of3),0,0.407205309,3.171948053,2.531867212,3.495253306,2.276825525
nmrk2(2of3),0,2.973158423,2.903693531,3.036983588,5.504435537,4.858076289
chac1(2of2),0,3.634441366,3.145119638,2.968981635,1.76316346,1.369390346
asrgl1(1of3),0,5.452401334,5.224349924,4.072123908,6.291481269,5.588497872
pde4b(3of4),0,3.732064091,3.48809652,2.818955822,3.499955897,3.034846642
asb2(3of3),0,3.728486889,3.375262538,5.710605702,3.941860362,0.882107185
ctrb1(2of2),0,2.573843573,4.900591709,6.611422423,2.726914346,-0.222089325
serpinc1,0,2.928188299,3.865972425,3.260996986,2.284174057,0.021637583
slc12a1,0,1.520508338,1.628335733,2.805322314,2.726914346,2.317824882
ttll8,0,2.340612489,3.451128064,4.515309069,2.474484591,1.697317172
fxyd6(2of2),0,5.227485147,4.512203627,0.465878228,2.445896134,1.055215235
vwa7(5of6),0,3.843211972,2.287434584,0.447030853,2.445896134,3.261642051
aldh1l1(2of2),0,3.037315431,2.868518604,0.57759107,3.319714181,3.078623544
asic1(3of3),0,4.23806415,4.030628964,3.573074382,2.766999333,1.904858236
ina(1of2),0,1.56236001,1.518431521,4.340644602,3.532759025,3.729829965
syt1(4of6),0,4.223886787,3.353185528,0.998999024,1.859630611,1.627975659
ache(2of2),0,3.249691816,3.324220962,1.149516094,4.399637602,3.907745314
sppl2a(2of2),0,1.802740965,2.887083105,3.083708749,-1.172589451,2.415471285
LOC107375238,0,4.123927379,2.982688861,0.373250576,2.896019082,2.236232097
opn3(2of2),0,5.293516946,4.438172677,3.387572381,1.829394686,3.575490331
itih3(2of3),0,2.835077072,1.704911526,-0.120400221,3.391202159,2.846878528
cyp27a1(2of4),0,3.38512305,2.910883172,1.803797701,1.463459305,1.933513551
arhgap28,0,2.806666405,2.961910375,3.653938672,1.787881424,1.241293641
asic2(2of2),0,3.868209002,2.441978271,3.045295634,2.695250147,1.932513688
slc6a4(3of3),0,2.671845103,3.195325857,0.538663633,1.431450662,2.201923452
sorcs1(2of2),0,2.43913597,1.401320154,1.816780953,-1.219309568,1.164582153
ttc22,0,3.857175678,1.282175674,2.278833834,3.128351191,2.79610255
necab1(1of4),0,2.683811327,1.125396991,1.43827791,0.269457768,1.420464563
cd93,0,4.127643546,4.525114449,2.319003673,3.679036339,3.319464601
tnni2(5of5),0,4.411431667,3.876428621,1.940467275,8.273995637,7.453134046
fos(4of4),0,1.547586532,3.514775616,4.207400811,3.386742262,1.307620168
siae,0,3.078072063,3.075197086,4.379547108,1.99919998,-0.005352465
nxnl1(1of2),0,4.648441127,4.431057726,1.920298977,1.99919998,1.869521772
wipf2(2of3),0,1.618340847,1.209306254,1.722278173,0.397008644,1.596635778
frmd5(3of3),0,2.301908565,3.076091368,0.87341599,2.330354864,1.638814093
vldlr(1of2),0,5.140937651,6.094222417,-1.365326331,5.902578831,5.517801316
pcdhga10(2of15),0,2.59485591,0.423088056,1.080930085,2.743928271,3.421748482
aldh1l1(1of2),0,3.770494824,3.511851735,1.42730089,3.282311983,3.491367632
sebox(1of2),0,2.745978909,2.422821441,3.471310205,0.778311338,0.163143108
sash3,0,1.149300535,0.322232624,3.981937062,4.093840636,4.037543176
kcp(3of3),0,2.470394071,3.494251162,3.438183163,2.468437777,1.505760695
gp2,0,2.674780221,2.924408253,3.188205998,2.125633775,0.752200614
npb,0,3.584962369,3.063993095,2.55429577,2.509128702,1.854210358
casp7(1of2),0,2.122117225,1.930073131,3.779589244,3.522220081,2.858587181
abcg4(1of2),0,2.446954493,3.111338491,2.131958557,1.222562161,1.592237213
mep1a(3of3),0,3.549354644,2.852798771,1.151213725,3.933928443,4.072716052
c2cd4c(3of5),0,1.078368271,3.205103325,0.410527183,1.566780473,2.123763912
nrsn1(2of2),0,2.140397444,2.701632159,1.183840915,2.258337215,1.752787654
ttc36,0,4.906898697,5.227245085,5.102707803,3.952155995,2.270992347
ifi30(1of2),0,3.819789577,3.571681474,1.10873081,4.485952092,4.191468088
