GOBPID,Term
GO:0071103,DNA conformation change
GO:1903047,mitotic cell cycle process
GO:0000278,mitotic cell cycle
GO:0022402,cell cycle process
GO:0006334,nucleosome assembly
GO:0007049,cell cycle
GO:0006259,DNA metabolic process
GO:0051276,chromosome organization
GO:0006323,DNA packaging
GO:0031497,chromatin assembly
GO:0006333,chromatin assembly or disassembly
GO:0030198,extracellular matrix organization
GO:0043062,extracellular structure organization
GO:0034728,nucleosome organization
GO:0006310,DNA recombination
GO:0051301,cell division
GO:0065004,protein-DNA complex assembly
GO:0006260,DNA replication
GO:0031055,chromatin remodeling at centromere
GO:0006261,DNA-dependent DNA replication
GO:0007059,chromosome segregation
GO:0048646,anatomical structure formation involved in morphogenesis
GO:0006281,DNA repair
GO:0034508,centromere complex assembly
GO:0044770,cell cycle phase transition
GO:0006336,DNA replication-independent nucleosome assembly
GO:0009790,embryo development
GO:0034724,DNA replication-independent nucleosome organization
GO:0000280,nuclear division
GO:0044772,mitotic cell cycle phase transition
GO:0048513,organ development
GO:0071824,protein-DNA complex subunit organization
GO:0006302,double-strand break repair
GO:0048598,embryonic morphogenesis
GO:0001655,urogenital system development
GO:0072001,renal system development
GO:0048285,organelle fission
GO:0007389,pattern specification process
GO:0007417,central nervous system development
GO:0009888,tissue development
GO:0035295,tube development
GO:0060429,epithelium development
GO:0034080,CENP-A containing nucleosome assembly
GO:0061641,CENP-A containing chromatin organization
GO:0010564,regulation of cell cycle process
GO:0003002,regionalization
GO:0098813,nuclear chromosome segregation
GO:0051302,regulation of cell division
GO:0001822,kidney development
GO:0006974,cellular response to DNA damage stimulus
GO:0006338,chromatin remodeling
GO:0030900,forebrain development
GO:0048729,tissue morphogenesis
GO:0008283,cell proliferation
GO:0021510,spinal cord development
GO:0006270,DNA replication initiation
GO:0006312,mitotic recombination
GO:0002009,morphogenesis of an epithelium
GO:0007423,sensory organ development
GO:0009653,anatomical structure morphogenesis
GO:0007062,sister chromatid cohesion
GO:0045165,cell fate commitment
GO:0035282,segmentation
GO:0007399,nervous system development
GO:0032200,telomere organization
GO:0001525,angiogenesis
GO:0030574,collagen catabolic process
GO:0045814,"negative regulation of gene expression, epigenetic"
GO:0048514,blood vessel morphogenesis
GO:0009887,organ morphogenesis
GO:0030154,cell differentiation
GO:0007067,mitotic nuclear division
GO:0008284,positive regulation of cell proliferation
GO:0044243,multicellular organismal catabolic process
GO:0051321,meiotic cell cycle
GO:0007346,regulation of mitotic cell cycle
GO:0035239,tube morphogenesis
GO:0001756,somitogenesis
GO:0060562,epithelial tube morphogenesis
GO:1901987,regulation of cell cycle phase transition
GO:0032392,DNA geometric change
GO:0001568,blood vessel development
GO:0072006,nephron development
GO:0000183,chromatin silencing at rDNA
GO:2000026,regulation of multicellular organismal development
GO:0043486,histone exchange
GO:0043044,ATP-dependent chromatin remodeling
GO:0060322,head development
GO:0007126,meiotic nuclear division
GO:1901990,regulation of mitotic cell cycle phase transition
GO:0048863,stem cell differentiation
GO:0044259,multicellular organismal macromolecule metabolic process
GO:0007051,spindle organization
GO:0000725,recombinational repair
GO:0014032,neural crest cell development
GO:0021953,central nervous system neuron differentiation
GO:0032508,DNA duplex unwinding
GO:0001944,vasculature development
GO:0031145,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process
GO:0061053,somite development
GO:0000724,double-strand break repair via homologous recombination
GO:0007420,brain development
GO:0000723,telomere maintenance
GO:0000722,telomere maintenance via recombination
GO:0051052,regulation of DNA metabolic process
GO:0001704,formation of primary germ layer
GO:0010948,negative regulation of cell cycle process
GO:1903046,meiotic cell cycle process
GO:0001763,morphogenesis of a branching structure
GO:0000226,microtubule cytoskeleton organization
GO:0061138,morphogenesis of a branching epithelium
GO:0000082,G1/S transition of mitotic cell cycle
GO:0009952,anterior/posterior pattern specification
GO:0051726,regulation of cell cycle
GO:0048839,inner ear development
GO:0043583,ear development
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules
GO:0006342,chromatin silencing
GO:0072073,kidney epithelium development
GO:0060485,mesenchyme development
GO:0032963,collagen metabolic process
GO:0021515,cell differentiation in spinal cord
GO:0000086,G2/M transition of mitotic cell cycle
GO:0044843,cell cycle G1/S phase transition
GO:0051436,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
GO:0051439,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
GO:0000819,sister chromatid segregation
GO:1901988,negative regulation of cell cycle phase transition
GO:0071897,DNA biosynthetic process
GO:0001501,skeletal system development
GO:0044839,cell cycle G2/M phase transition
GO:0021537,telencephalon development
GO:0014031,mesenchymal cell development
GO:0048864,stem cell development
GO:0021536,diencephalon development
GO:0000731,DNA synthesis involved in DNA repair
GO:0022610,biological adhesion
GO:0048762,mesenchymal cell differentiation
GO:0034502,protein localization to chromosome
GO:0048565,digestive tract development
GO:0048568,embryonic organ development
GO:0001708,cell fate specification
GO:0030199,collagen fibril organization
GO:0048754,branching morphogenesis of an epithelial tube
GO:0060993,kidney morphogenesis
GO:0014033,neural crest cell differentiation
GO:1901991,negative regulation of mitotic cell cycle phase transition
GO:0006325,chromatin organization
GO:0090596,sensory organ morphogenesis
GO:0007155,cell adhesion
GO:0022616,DNA strand elongation
GO:0000070,mitotic sister chromatid segregation
GO:0007369,gastrulation
GO:0070192,chromosome organization involved in meiosis
GO:0051781,positive regulation of cell division
GO:0051352,negative regulation of ligase activity
GO:0001656,metanephros development
GO:0061326,renal tubule development
GO:0048562,embryonic organ morphogenesis
GO:0016477,cell migration
GO:0044236,multicellular organismal metabolic process
GO:0072009,nephron epithelium development
GO:0043009,chordate embryonic development
GO:0051983,regulation of chromosome segregation
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules
GO:0051444,negative regulation of ubiquitin-protein transferase activity
GO:0055123,digestive system development
GO:0045132,meiotic chromosome segregation
GO:0009792,embryo development ending in birth or egg hatching
GO:0045605,negative regulation of epidermal cell differentiation
GO:0050793,regulation of developmental process
GO:0045930,negative regulation of mitotic cell cycle
GO:0072358,cardiovascular system development
GO:0072359,circulatory system development
GO:0048699,generation of neurons
GO:0007127,meiosis I
GO:0034723,DNA replication-dependent nucleosome organization
GO:0006335,DNA replication-dependent nucleosome assembly
GO:0000075,cell cycle checkpoint
GO:0072080,nephron tubule development
GO:0048732,gland development
GO:0022008,neurogenesis
GO:0001823,mesonephros development
GO:0001764,neuron migration
GO:0007093,mitotic cell cycle checkpoint
GO:0072210,metanephric nephron development
GO:0051783,regulation of nuclear division
GO:0000732,strand displacement
GO:0051094,positive regulation of developmental process
GO:0048870,cell motility
GO:0051674,localization of cell
GO:0010033,response to organic substance
GO:0042127,regulation of cell proliferation
GO:0051290,protein heterotetramerization
GO:0051437,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition
GO:0048483,autonomic nervous system development
GO:0051054,positive regulation of DNA metabolic process
GO:0007088,regulation of mitotic nuclear division
GO:0045787,positive regulation of cell cycle
GO:2000027,regulation of organ morphogenesis
GO:0060174,limb bud formation
GO:0008608,attachment of spindle microtubules to kinetochore
GO:0050920,regulation of chemotaxis
GO:0001657,ureteric bud development
GO:0060249,anatomical structure homeostasis
GO:0007052,mitotic spindle organization
GO:0072163,mesonephric epithelium development
GO:0072164,mesonephric tubule development
GO:0007017,microtubule-based process
GO:0035272,exocrine system development
GO:0051225,spindle assembly
GO:0048002,antigen processing and presentation of peptide antigen
GO:0035270,endocrine system development
GO:0001654,eye development
GO:0072028,nephron morphogenesis
GO:0050795,regulation of behavior
GO:0001755,neural crest cell migration
GO:0001503,ossification
GO:0010604,positive regulation of macromolecule metabolic process
GO:0042221,response to chemical
GO:0006268,DNA unwinding involved in DNA replication
GO:0045683,negative regulation of epidermis development
GO:0048736,appendage development
GO:0060173,limb development
GO:0009880,embryonic pattern specification
GO:0043010,camera-type eye development
GO:0006271,DNA strand elongation involved in DNA replication
GO:0048665,neuron fate specification
GO:0071310,cellular response to organic substance
GO:0021761,limbic system development
GO:0090068,positive regulation of cell cycle process
GO:0030261,chromosome condensation
GO:0007610,behavior
GO:0021872,forebrain generation of neurons
GO:0061333,renal tubule morphogenesis
GO:0035107,appendage morphogenesis
GO:0035108,limb morphogenesis
GO:0072078,nephron tubule morphogenesis
GO:0000022,mitotic spindle elongation
GO:0070887,cellular response to chemical stimulus
GO:0000726,non-recombinational repair
GO:0002085,inhibition of neuroepithelial cell differentiation
GO:0061448,connective tissue development
GO:0001706,endoderm formation
GO:0007435,salivary gland morphogenesis
GO:0045168,cell-cell signaling involved in cell fate commitment
GO:0035987,endodermal cell differentiation
GO:1901533,negative regulation of hematopoietic progenitor cell differentiation
GO:0044774,mitotic DNA integrity checkpoint
GO:0002478,antigen processing and presentation of exogenous peptide antigen
GO:0060445,branching involved in salivary gland morphogenesis
GO:0071822,protein complex subunit organization
GO:0010721,negative regulation of cell development
GO:0021517,ventral spinal cord development
GO:0006029,proteoglycan metabolic process
GO:0010212,response to ionizing radiation
GO:0045005,DNA-dependent DNA replication maintenance of fidelity
GO:0006303,double-strand break repair via nonhomologous end joining
GO:0072088,nephron epithelium morphogenesis
GO:0007548,sex differentiation
GO:0048663,neuron fate commitment
GO:0009954,proximal/distal pattern formation
GO:0033260,nuclear DNA replication
GO:0006298,mismatch repair
GO:0040011,locomotion
GO:0051093,negative regulation of developmental process
GO:0035904,aorta development
GO:0002067,glandular epithelial cell differentiation
GO:0060675,ureteric bud morphogenesis
GO:0072171,mesonephric tubule morphogenesis
GO:0019884,antigen processing and presentation of exogenous antigen
GO:0019882,antigen processing and presentation
GO:0021527,spinal cord association neuron differentiation
GO:0045143,homologous chromosome segregation
GO:0007492,endoderm development
GO:0002040,sprouting angiogenesis
GO:0016331,morphogenesis of embryonic epithelium
GO:0009719,response to endogenous stimulus
GO:0051297,centrosome organization
GO:0000018,regulation of DNA recombination
GO:0007431,salivary gland development
GO:0030182,neuron differentiation
GO:0006366,transcription from RNA polymerase II promoter
GO:0045747,positive regulation of Notch signaling pathway
GO:0002244,hematopoietic progenitor cell differentiation
GO:1902749,regulation of cell cycle G2/M phase transition
GO:0048468,cell development
GO:0051231,spindle elongation
GO:0030203,glycosaminoglycan metabolic process
GO:0031099,regeneration
GO:0006369,termination of RNA polymerase II transcription
GO:0045596,negative regulation of cell differentiation
GO:0050953,sensory perception of light stimulus
GO:0034501,protein localization to kinetochore
GO:0022612,gland morphogenesis
GO:0045631,regulation of mechanoreceptor differentiation
GO:0045607,regulation of auditory receptor cell differentiation
GO:2000980,regulation of inner ear receptor cell differentiation
GO:0001658,branching involved in ureteric bud morphogenesis
GO:0003357,noradrenergic neuron differentiation
GO:0045815,"positive regulation of gene expression, epigenetic"
GO:0040029,"regulation of gene expression, epigenetic"
GO:0048566,embryonic digestive tract development
GO:0007098,centrosome cycle
GO:0045608,negative regulation of auditory receptor cell differentiation
GO:0001667,ameboidal-type cell migration
GO:0070848,response to growth factor
GO:0007498,mesoderm development
GO:0006357,regulation of transcription from RNA polymerase II promoter
GO:0022603,regulation of anatomical structure morphogenesis
GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0006022,aminoglycan metabolic process
GO:0030324,lung development
GO:0002065,columnar/cuboidal epithelial cell differentiation
GO:0050768,negative regulation of neurogenesis
GO:0072224,metanephric glomerulus development
GO:0051340,regulation of ligase activity
GO:0051961,negative regulation of nervous system development
GO:0021988,olfactory lobe development
GO:2000045,regulation of G1/S transition of mitotic cell cycle
GO:0043542,endothelial cell migration
GO:0060560,developmental growth involved in morphogenesis
GO:0051304,chromosome separation
GO:0042220,response to cocaine
GO:0006461,protein complex assembly
GO:0051240,positive regulation of multicellular organismal process
GO:0040034,"regulation of development, heterochronic"
GO:0048505,regulation of timing of cell differentiation
GO:0072070,loop of Henle development
GO:0070271,protein complex biogenesis
GO:0006935,chemotaxis
GO:0042330,taxis
GO:0010389,regulation of G2/M transition of mitotic cell cycle
GO:0071459,"protein localization to chromosome, centromeric region"
GO:0045632,negative regulation of mechanoreceptor differentiation
GO:2000981,negative regulation of inner ear receptor cell differentiation
GO:0060359,response to ammonium ion
GO:0031954,positive regulation of protein autophosphorylation
GO:0030323,respiratory tube development
GO:1902750,negative regulation of cell cycle G2/M phase transition
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0021854,hypothalamus development
GO:0051782,negative regulation of cell division
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
GO:0090130,tissue migration
GO:0003156,regulation of organ formation
GO:0007131,reciprocal meiotic recombination
GO:0035825,reciprocal DNA recombination
GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0007601,visual perception
GO:0010972,negative regulation of G2/M transition of mitotic cell cycle
GO:0071363,cellular response to growth factor stimulus
GO:0097150,neuronal stem cell population maintenance
GO:0021846,cell proliferation in forebrain
GO:0016264,gap junction assembly
GO:0045786,negative regulation of cell cycle
GO:0031570,DNA integrity checkpoint
GO:0060968,regulation of gene silencing
GO:1902806,regulation of cell cycle G1/S phase transition
GO:0060541,respiratory system development
GO:0045995,regulation of embryonic development
GO:0021879,forebrain neuron differentiation
GO:1900262,regulation of DNA-directed DNA polymerase activity
GO:1900264,positive regulation of DNA-directed DNA polymerase activity
GO:0031509,telomeric heterochromatin assembly
GO:1902340,negative regulation of chromosome condensation
GO:0021693,cerebellar Purkinje cell layer structural organization
GO:0021698,cerebellar cortex structural organization
GO:0021679,cerebellar molecular layer development
GO:0043933,macromolecular complex subunit organization
GO:0032835,glomerulus development
GO:0045662,negative regulation of myoblast differentiation
GO:0006928,movement of cell or subcellular component
GO:0045665,negative regulation of neuron differentiation
GO:0042471,ear morphogenesis
GO:0071772,response to BMP
GO:0071773,cellular response to BMP stimulus
GO:0045935,positive regulation of nucleobase-containing compound metabolic process
GO:0001707,mesoderm formation
GO:0034453,microtubule anchoring
GO:0021772,olfactory bulb development
GO:0045653,negative regulation of megakaryocyte differentiation
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I
GO:0060021,palate development
GO:0060840,artery development
GO:0090287,regulation of cellular response to growth factor stimulus
GO:0072012,glomerulus vasculature development
GO:0003338,metanephros morphogenesis
GO:0048520,positive regulation of behavior
GO:0051438,regulation of ubiquitin-protein transferase activity
GO:0016233,telomere capping
GO:0060512,prostate gland morphogenesis
GO:0072148,epithelial cell fate commitment
GO:0031577,spindle checkpoint
GO:0051216,cartilage development
GO:0021543,pallium development
GO:0090132,epithelium migration
GO:1904338,regulation of dopaminergic neuron differentiation
GO:0031508,pericentric heterochromatin assembly
GO:0046331,lateral inhibition
GO:0014807,regulation of somitogenesis
GO:0044773,mitotic DNA damage checkpoint
GO:0031016,pancreas development
GO:0042472,inner ear morphogenesis
GO:0042493,response to drug
GO:0031297,replication fork processing
GO:0030857,negative regulation of epithelial cell differentiation
GO:0072089,stem cell proliferation
GO:0060326,cell chemotaxis
GO:0021516,dorsal spinal cord development
GO:1902807,negative regulation of cell cycle G1/S phase transition
GO:0048332,mesoderm morphogenesis
GO:0051239,regulation of multicellular organismal process
GO:0031018,endocrine pancreas development
GO:0044786,cell cycle DNA replication
GO:0071479,cellular response to ionizing radiation
GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I
GO:0031023,microtubule organizing center organization
GO:0016568,chromatin modification
GO:0000729,DNA double-strand break processing
GO:0061440,kidney vasculature development
GO:0061437,renal system vasculature development
GO:1902850,microtubule cytoskeleton organization involved in mitosis
GO:0006284,base-excision repair
GO:0033045,regulation of sister chromatid segregation
GO:1902589,single-organism organelle organization
GO:0060842,arterial endothelial cell differentiation
GO:0042573,retinoic acid metabolic process
GO:0021954,central nervous system neuron development
GO:0097305,response to alcohol
GO:0060828,regulation of canonical Wnt signaling pathway
GO:0000003,reproduction
GO:0051443,positive regulation of ubiquitin-protein transferase activity
GO:0006521,regulation of cellular amino acid metabolic process
GO:0040007,growth
GO:0021675,nerve development
GO:0048538,thymus development
GO:0048557,embryonic digestive tract morphogenesis
GO:0008299,isoprenoid biosynthetic process
GO:0048589,developmental growth
GO:0000904,cell morphogenesis involved in differentiation
GO:0045595,regulation of cell differentiation
GO:1903510,mucopolysaccharide metabolic process
GO:0051351,positive regulation of ligase activity
GO:0033238,regulation of cellular amine metabolic process
GO:0010594,regulation of endothelial cell migration
GO:1901532,regulation of hematopoietic progenitor cell differentiation
GO:0072395,signal transduction involved in cell cycle checkpoint
GO:0051303,establishment of chromosome localization
GO:0021522,spinal cord motor neuron differentiation
GO:0090009,primitive streak formation
GO:0030509,BMP signaling pathway
GO:0001837,epithelial to mesenchymal transition
GO:0060740,prostate gland epithelium morphogenesis
GO:0006282,regulation of DNA repair
