id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,D4m_Lib20,NonD_Lib21,NonD_Lib22,NonD_Lib23
a1cf,0.368344032,0.397549449,0.281193584,0.680767847,0.453332114,0.149142833,0.054037114,0.786273805,0.390907589,0.068950481,0.399006496,0.493870181,1.425668611,1.701576495,1.628067135,1.85196849
a2m,0.720250848,0.549507779,0.404662026,0.461161314,0.181359853,0.812749548,0.238313689,0.240669837,0.686766086,0.603004925,0.562977475,1.008857211,0.207868829,0.720362095,0.792727028,1.021519184
a2ml1(2of4),22.0633986,18.29428603,18.5884496,109.2978514,79.9537774,65.50413577,58.06074696,60.56359675,60.91645852,31.39035602,22.00859177,21.43856565,15.92139429,14.01930712,16.48287299,16.87780689
a3galt2(1of3),9.809904781,11.93825142,12.46511786,15.30908419,21.16064002,16.33583347,16.08455282,15.78223613,12.62825156,7.218908427,6.999452719,6.850988708,11.97969687,11.06538884,10.78891606,11.79369415
a3galt2(2of3),2.003898353,2.606057068,3.757643204,3.225519594,6.154067129,4.991859989,6.167973142,3.577486693,4.477927648,2.503071452,3.640526765,1.629402514,5.520374429,7.490941718,9.116707409,9.14138951
aaas,13.33493428,10.93572205,9.28174067,0.768151096,1.314927439,1.354184051,0.984105559,1.162155476,1.123162419,2.505571803,1.528261084,1.915568447,8.7937829,14.12856785,14.07662424,13.30920782
aacs,14.41529411,13.75365409,15.62615498,20.86182422,18.9177303,20.2604254,22.84162034,19.62914836,18.78841438,24.29863156,20.60950991,19.86728739,15.26456635,12.63514077,12.9928072,14.10324071
aadac,0.222368907,0.089589978,0.111048017,0.159281892,0.02488821,0.135014135,0.200158636,0.077949619,0.047751305,0.25497447,0.280754528,0.116807333,0.314210762,0.200395878,0.249097146,0.530428941
aadat,2.430096559,2.500729335,2.023165624,1.165672629,0.941436841,1.190910094,3.030269535,1.803225226,1.861696272,1.418433305,1.32309957,1.606165809,1.231616839,1.48388638,1.983832185,1.616158811
aaed1(1of2),4.896157499,4.292774088,5.269072172,1.214084417,2.232767546,1.782359628,2.709636791,1.548224938,1.675647393,2.887813642,4.625595006,4.792124222,4.326408514,5.392336032,5.284791444,5.202610052
aaed1(2of2),11.34023973,13.5227038,17.49219273,53.98404106,45.4933496,48.96647099,64.92334,70.09300607,64.03224013,44.10901725,54.88221108,30.4373594,18.66665766,7.51444879,6.200588216,7.260843139
aagab,33.89961269,32.20644077,32.78040976,36.29864125,29.47773759,30.5043622,30.59998812,30.96846366,34.38591388,30.69880327,33.73619099,42.27620536,41.54458979,34.87306101,41.78243092,41.16829915
aak1,4.470402064,4.287516582,3.767204102,4.703062031,4.783843842,4.55718869,4.941890286,5.112594838,6.944025921,9.962585662,6.740960678,6.870203726,3.787012145,3.594479779,3.695216961,3.302139432
aamdc,13.69334498,15.10756534,16.53613405,76.89049134,68.69231825,85.35927459,141.2394582,130.4607402,121.6230543,226.4392364,223.5572719,218.9875906,43.28082498,14.20974084,13.59339827,14.6572132
aamp,48.41650025,50.55449933,52.28100563,43.08037107,47.37490958,42.8045164,51.93428814,54.47990775,52.25273613,34.96472732,48.52663364,50.05140279,48.33166072,36.09994121,41.71819817,48.34768227
aanat(1of3),0.408595834,0.300168165,0.837951046,0.926143717,0.188847668,0.510430386,0.757811185,0.344114681,0.301388212,0.734637403,0.795690064,0.635753042,0.273211937,0.881488135,0.69185499,0.458161502
aanat(2of3),0.664522841,0.564393914,0.270602594,0.076174217,0.047263526,1.119376999,0.397109225,0.610450008,0.13751111,0.714759763,0.293460398,0.494562893,0.307864653,0.552612752,0.606560813,0.198104214
aanat(3of3),1.032968406,1.310377129,2.541417673,9.738488279,12.19574663,12.8762615,17.91577544,19.24049376,17.73348793,20.87634003,17.04944961,18.62427785,5.565034403,0.879681066,0.754506725,0.8738024
aar2,21.5444319,25.7162591,26.31842815,17.80898156,16.64300196,16.26972812,18.07258945,14.41336605,15.67062135,12.06005362,20.63477758,22.43870001,25.64277382,19.45400199,21.76202288,25.79604534
aars,63.45854928,56.56805791,50.50243123,70.99508048,58.38528161,54.92451752,45.33212637,50.78838105,43.84762686,105.2987532,91.01568476,103.0361744,94.79976759,77.23144106,77.48270707,82.13874265
aars2,10.25498195,9.787766073,12.36629065,19.75427038,16.86931915,20.11959055,22.44561463,22.35752781,23.26235676,29.95615471,41.87989822,44.96183842,16.36265574,7.880044937,7.95487181,8.321411653
aarsd1,8.923485637,8.395765527,6.231100259,1.269280766,1.738320449,2.147138494,2.171061511,1.09777306,1.312300221,1.886419522,2.026539513,2.692894099,5.572489323,9.219262423,9.040485835,9.764832387
aasdh,3.722819686,3.212759475,1.522146754,0.69267567,2.130502981,1.853215058,1.83129805,1.776892007,1.244963067,2.890376607,3.019748289,3.466270396,2.360618614,2.75373945,2.403874401,1.951573044
aasdhppt,18.78098097,24.51677235,25.67270542,91.84428594,86.68785169,79.75863011,124.842684,113.3378797,107.1411537,85.51617577,85.59676068,71.40861891,44.68261448,16.73282398,16.82424027,21.75417514
