id,PreD_Lib1,PreD_Lib2,PreD_Lib3,D3d_Lib11,D3d_Lib12,D3d_Lib24,D6d_Lib14,D6d_Lib15,D6d_Lib16,D1m_Lib18,D1m_Lib19,D1m_Lib26,NonD_Lib21,NonD_Lib22,NonD_Lib23
march1,6.214017109,7.413160614,6.822838589,5.452313567,4.946189308,3.978040544,4.566498611,4.552388373,4.618195869,3.373675911,4.428951984,3.036660435,6.495510302,6.608239972,6.4446221
march7,8.909831625,9.609051958,8.767148962,13.38585966,11.85367386,12.74234522,17.71864997,12.25220735,11.97151998,13.19257114,16.71583457,14.72436792,8.87161131,8.490486001,8.143899903
march8,1.709319819,2.197791121,2.398546582,3.452314468,3.508480792,3.380719584,2.746545877,2.917301069,3.579174526,3.108653389,2.096489759,2.742741931,2.827138368,2.701417047,2.908562279
sept3,1.012380752,0.942615756,1.283921669,1.246125935,1.344397134,1.084239066,0.864611592,1.407721069,0.841417765,0.624460641,0.890093641,1.008697037,2.060206222,2.176966433,2.271546052
sept6,35.81791121,33.53224124,30.09884411,11.60224255,9.851905545,13.29191065,12.97570998,10.83321949,14.7144786,17.67885586,18.41142459,14.15073479,39.47731139,42.06201526,40.51352077
sept10,66.35167085,66.48415513,67.55437862,47.77562352,44.6030612,36.98752409,42.06069598,41.90318554,41.64992843,35.20130866,43.76411706,36.74110484,51.52186653,52.87048146,59.80473749
sept15,27.27855161,29.44421248,36.02421405,30.06497008,25.39246492,23.880035,16.26373121,15.1900021,18.80799828,10.52358039,14.37410025,15.07508851,32.47586887,34.82501061,40.1042718
a1cf,0.369817577,0.400517675,0.283215484,0.682730873,0.455635119,0.149550153,0.054215529,0.788251257,0.392843129,0.068983734,0.400131563,0.494008301,1.705729578,1.643386714,1.863368658
a2m,0.723132181,0.553610573,0.407571716,0.462491094,0.182281193,0.814969228,0.239100534,0.241275113,0.69016654,0.603295746,0.564564886,1.009139356,0.722120302,0.80018633,1.027807353
a2ml1(2of4),22.15166231,18.43087679,18.72210838,109.6130169,80.35995643,65.68303249,58.25244729,60.71591214,61.21808034,31.40549514,22.07064876,21.44456132,14.05352442,16.63797144,16.98170166
a3galt2(1of3),9.849148895,12.02738607,12.5547473,15.35322866,21.26813973,16.38044786,16.13765951,15.82192791,12.69077909,7.222390003,7.019188871,6.852904709,11.09239643,10.89043624,11.86629263
a3galt2(2of3),2.011914865,2.62551469,3.78466224,3.234820532,6.185330855,5.005493134,6.188338062,3.586483951,4.500099664,2.504278648,3.650791852,1.629858206,7.509225062,9.202492646,9.197661191
aaas,13.38828012,11.01737151,9.348480292,0.770366096,1.321607498,1.357882429,0.987354799,1.165078257,1.128723647,2.506780205,1.532570277,1.91610417,14.16305183,14.20908067,13.39113535
aacs,14.47296189,13.85634309,15.73851361,20.92198027,19.01383565,20.31575815,22.91703698,19.678515,18.88144336,24.31035044,20.66762194,19.87284362,12.6659797,13.11506526,14.19005607
aadac,0.223258484,0.090258884,0.111846499,0.159741188,0.025014647,0.135382869,0.200819503,0.07814566,0.047987741,0.25509744,0.281546164,0.116840001,0.20088499,0.251441069,0.533694104
aadat,2.439818059,2.519400548,2.037713037,1.169033901,0.946219504,1.194162559,3.040274636,1.807760276,1.870914276,1.419117395,1.326830275,1.606615002,1.487508141,2.002499397,1.626107405
