target_id	length	eff_length	est_counts	tpm
col11a2	1086	895.356	213	15.0348
runx2(2of2)	837	646.495	0	0
gtf2ird2(3of3)	574	385.523	2	0.327864
mt_nd4	1381	1190.36	11924	633.081
mt_co1	1545	1354.36	166397	7764.74
hoxb9(2of2)	827	636.624	128	12.7069
mt_nd2	1036	845.356	2308	172.548
mt_cyb	1137	946.356	7289.97	486.839
mt_nd1	975	784.356	3394	273.472
sox11(2of2)	1139	948.356	57.1331	3.80742
mt_co2	691	500.908	37661.6	4751.76
mt_nd5	1842	1651.36	6310	241.492
zmym1(14of14)	1113	922.356	0	0
sphk1(2of3)	500	313.764	16	3.22278
smdt1(2of2)	762	571.746	30	3.31613
smc6(2of2)	699	508.858	1	0.124199
sebox(2of2)	714	523.858	2	0.241285
rpl38	332	158.759	9676	3851.86
ppp1r3a(4of4)	255	97.4477	101	65.5034
poln	753	562.746	13	1.45997
pla2r1(3of3)	765	574.746	1	0.109961
pde4d(3of3)	1495	1304.36	10	0.484527
pcsk7(2of2)	317	146.184	0	0
nlrc3(24of24)	662	472.152	0	0
necab1(4of4)	232	80.7456	4	3.1308
mt_nd6	519	331.918	3175	604.543
mt_nd4l	297	129.989	7487	3640.12
mt_nd3	349	173.394	1057	385.26
mt_co3	784	593.746	19154	2038.79
mt_atp8	168	42.0393	240	360.802
mt_atp6	683	493.007	2982	382.268
mfap4(4of4)	611	421.997	0	0
klhl38(2of2)	1450	1259.36	4	0.200736
ins	573	384.562	18	2.95815
hoxa2b	627	437.651	28	4.04338
gtf2ird2(2of3)	890	699.427	196	17.7104
fzd3(4of4)	369	190.83	22	7.28603
fgfbp1(3of3)	1392	1201.36	15	0.789103
fgf11(2of2)	483	297.378	3	0.637567
elovl4(6of6)	471	285.702	0	0
deptor(3of3)	384	204.4	1	0.309195
cdkn1c(2of2)	213	68.2843	18	16.6596
adh5(4of4)	1537	1346.36	99	4.64718
a2ml1(4of4)	1662	1471.36	2	0.0859065
glipr2(2of2)	687	496.908	123	15.6438
pax6(4of4)	1522	1331.36	79.8495	3.79046
fgf22	3384	3193.36	4	0.0791638
cdk14(3of3)	461	276.214	15	3.4321
ccni2	2524	2333.36	1389.11	37.6244
polq	5318	5127.36	1403	17.2933
fgf12(2of2)	4868	4677.36	1242.67	16.7907
vps52	3162	2971.36	948	20.1636
rps29	345	169.922	11413	4244.87
cfap46(1of2)	3396	3205.36	224.078	4.41811
sash1(2of2)	7689	7498.36	1183	9.97086
pla2g1b(3of3)	2329	2138.36	0	0
krt222	2245	2054.36	15	0.461455
pdp1(3of3)	2695	2504.36	2	0.0504717
mtus2(2of2)	2679	2488.36	23	0.584157
mtf2(2of2)	2345	2154.36	1676.36	49.1772
lin37	1710	1519.36	785	32.6531
cfap46(2of2)	2985	2794.36	318.922	7.21302
phf14	3730	3539.36	2834	50.6046
chd3(2of2)	8348	8157.36	44	0.340892
slc7a3	4392	4201.36	1339	20.1421
nkx1_2	988	797.356	128	10.1455
ghsr(4of4)	2292	2101.36	4	0.120302
cdhr5(3of3)	3497	3306.36	83.3809	1.59379
kdm2a(3of3)	3877	3686.36	1544.92	26.4863
fgf20(2of2)	1818	1627.36	173	6.71858
fgf4	924	733.356	0	0
cdh23(2of3)	6397	6206.36	518	5.27481
cdh23(3of3)	5108	4917.36	41	0.526946
ppp2r2b	3395	3204.36	264	5.20688
kdm6b(2of2)	8093	7902.36	7683	61.4452
sphk1(3of3)	4203	4012.36	107.716	1.69667
sirt1	2233	2042.36	1235	38.2164
fgf3	1999	1808.36	32	1.11836
rps11	604	415.164	14815	2255.26
myo19	3063	2872.36	399	8.77907
fgf17	720	529.858	462	55.1057
rpl13	948	757.356	25653	2140.68
lect1(2of2)	1771	1580.36	3	0.119972
rnaseh2a(1of2)	879	688.427	450	41.3113
rnaseh2a(2of2)	1087	896.356	349.113	24.615
rpl32	525	337.817	14188	2654.32
creb1(5of5)	1396	1205.36	134	7.02592
prkab1(2of2)	1730	1539.36	2049	84.1234
slc1a2(3of3)	3930	3739.36	123	2.07885
gabrb3(3of3)	1853	1662.36	2	0.0760361
c12orf65	699	508.858	268	33.2853
setd1b(3of3)	7551	7360.36	1061.37	9.11342
prdm2(2of2)	6595	6404.36	1667.06	16.4509
hoxa7	996	805.356	158.982	12.476
trpc7(1of2)	3233	3042.36	2	0.0415465
xcr1(2of4)	1090	899.356	1	0.070272
cep112	3057	2866.36	849	18.7194
idh2(2of2)	1777	1586.36	10647	424.171
grb7	2726	2535.36	44	1.0968
ttc30a1	1814	1623.36	500	19.4657
ppp1r13b(1of2)	4651	4460.36	907	12.8514
bcl9l(1of2)	5353	5162.36	449.437	5.50218
hipk2(5of6)	4244	4053.36	7	0.109143
bloc1s4	1673	1482.36	437	18.6313
bphl	1251	1060.36	84	5.00658
fam184a(1of2)	4461	4270.36	131	1.93875
zfp330	1254	1063.36	1950	115.896
gfra1(5of7)	2172	1981.36	48	1.53106
st6galnac6	2249	2058.36	308	9.4568
chrnb1(2of2)	2987	2796.36	201	4.54274
cldn19(2of4)	1795	1604.36	8	0.31514
pnp(3of5)	1943	1752.36	153	5.51802
cops4	1687	1496.36	1459	61.6218
LOC107372748	1209	1018.36	2104	130.575
gale	1368	1177.36	1016	54.5381
lcp2(1of2)	1717	1526.36	51	2.11168
acaa2	1760	1569.36	2376	95.6839
exosc9	1497	1306.36	1618	78.2764
wdr73	2271	2080.36	779	23.6654
chrna4	2777	2586.36	29.9231	0.731193
prpf39(1of2)	3001	2810.36	6842	153.864
zcchc8	2425	2234.36	960	27.1539
anapc15	1978	1787.36	854	30.1968
csf1r(2of2)	4048	3857.36	287	4.70226
capsl	951	760.356	23	1.91172
rpusd4	1375	1184.36	245	13.0737
hist1h1b(1of6)	1338	1147.36	14655.4	807.262
tmem100(1of2)	1399	1208.36	115	6.01474
trerf1(1of2)	1993	1802.36	1	0.035065
msh6	5452	5261.36	5732	68.8529
znf235(31of148)	2101	1910.36	274.745	9.08927
fam83h(1of2)	7544	7353.36	1161	9.97839
pcdh1(2of2)	4943	4752.36	28.0233	0.372669
lsamp	1957	1766.36	4	0.143118
huwe1	14690	14499.4	31186	135.933
tapbp	1820	1629.36	99	3.84002
ccdc90b	1162	971.356	583	37.9319
txn2	931	740.356	512	43.7062
LOC107396618	1471	1280.36	0	0
zscan22(1of6)	1284	1093.36	562.444	32.5111
tmem229a	3057	2866.36	34	0.749657
tnfaip8l3	1407	1216.36	30.4743	1.58339
trim33(2of2)	4263	4072.36	3209	49.801
tnmd	1121	930.356	55	3.73618
