"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"phc1(1of3)",0.000879134215546229,0.0111382748336585,0.007902661179883,0.000625863099607189,0.0210954012009405
"thrap3(2of4)",0.00214984023137075,0.0102468397389617,0.00648832191589978,0.00439756965180835,0.0196316705738885
"szrd1(1of2)",0.011155367952764,0.000823430058091359,0.00376026385109126,0.00890446872808739,0.000886363611910598
"apbb3",0.000331444216289248,0.000461542339333063,0.00279783425504084,0.0097319094463448,0.0037314318716108
"LOC107372725",0.00611734453582369,0.00310279909092222,0.00197150538863563,0.0115239241217771,0.00136637673216876
"plk3",0.00591999305533439,4.39916974184818e-05,0.0113862521262806,0.0184848037465805,0.000342813128076406
"ofcc1",0.00675420049290858,0.00579768644185467,0.00882201458401029,5.63820520816393e-05,0.00333605636702635
"hic2(1of3)",0.00130493864350754,0.000421508149246407,0.00483773861160593,0.00139349347350366,0.00210380636895981
"asxl3",0.00328004123690172,9.89961886482987e-05,2.07330891672278e-06,0.000198914167407306,0.00611183170638883
"gimap7(10of11)",0.0104114086622352,2.1663440075626e-05,0.00358162496239409,0.00200008035431227,0.00864846312984451
"pagr1",0.00333809845411851,0.000229060714030575,0.000746509434909391,0.000493371449245993,0.000225495548755116
"tanc2(2of3)",0.000535579240123428,0.0115850133930335,0.000129133841681843,0.000405528875945641,0.0113708897179841
"htra2",0.00461028665525299,0.0037274641860159,0.00304854957007483,0.0105810599491593,0.00766317129921258
"rab3d(2of2)",0.00113184493482339,0.0069040402828494,0.000361736046178879,0.00910289345127093,0.047047932133004
"mtnr1a(4of4)",0.00603176307450385,0.00124260741518185,0.00202047014394444,0.00113019905257173,0.00321252224037505
"aurka",0.00563069300310702,0.00950696331368001,0.000980301295458053,0.00757701375677919,7.05274538589622e-05
"stip1(1of4)",0.00253527285806988,0.00592003054905537,0.0107422912276558,0.00754044355020995,0.00543581334959653
"sla2",0.000626772903441818,0.000711277394239666,0.00498243262135778,0.00460532467878496,0.0197975501340049
"tbc1d16",0.00268604888996843,0.000740637029809821,0.00356600897947074,0.0263177220002417,0.000209100772130426
