target_id	length	eff_length	est_counts	tpm
col11a2	1086	921.318	164.472	25.2974
runx2(2of2)	837	672.386	1	0.210753
gtf2ird2(3of3)	574	412.622	12	4.12118
mt_nd4	1381	1216.32	4600.84	536.023
mt_co1	1545	1380.32	12171.5	1249.57
hoxb9(2of2)	827	662.52	126	26.9504
mt_nd2	1036	871.318	2906.96	472.776
mt_cyb	1137	972.318	3782	551.196
mt_nd1	975	810.318	6032	1054.87
sox11(2of2)	1139	974.318	13	1.89076
mt_co2	691	527.417	4296.66	1154.44
mt_nd5	1842	1677.32	3533.54	298.53
zmym1(14of14)	1113	948.318	5	0.747152
sphk1(2of3)	500	342.243	3	1.24217
smdt1(2of2)	762	597.641	472	111.917
smc6(2of2)	699	535.31	2	0.529441
sebox(2of2)	714	549.982	2	0.515317
rpl38	332	191.074	5239	3885.44
ppp1r3a(4of4)	255	130.993	265	286.676
poln	753	588.7	7	1.68499
pla2r1(3of3)	765	600.641	8	1.88742
pde4d(3of3)	1495	1330.32	4	0.426086
pcsk7(2of2)	317	179.088	1	0.791272
nlrc3(24of24)	662	498.929	4	1.13609
necab1(4of4)	232	114.026	11	13.6705
mt_nd6	519	360.139	1056	415.515
mt_nd4l	297	162.793	380	330.781
mt_nd3	349	205.634	507	349.387
mt_co3	784	619.52	4129	944.458
mt_atp8	168	70.109	195	394.143
mt_atp6	683	519.521	2246	612.631
mfap4(4of4)	611	448.889	3	0.947054
klhl38(2of2)	1450	1285.32	7	0.771757
ins	573	411.664	6	2.06539
hoxa2b	627	464.615	16	4.88
gtf2ird2(2of3)	890	725.318	48	9.3779
fzd3(4of4)	369	222.556	11	7.00399
fgfbp1(3of3)	1392	1227.32	4	0.461845
fgf11(2of2)	483	326.16	0	0
elovl4(6of6)	471	314.782	0	0
deptor(3of3)	384	235.914	9	5.40607
cdkn1c(2of2)	213	100.368	4	5.64752
adh5(4of4)	1537	1372.32	5	0.516307
a2ml1(4of4)	1662	1497.32	10	0.946409
glipr2(2of2)	687	523.469	6	1.62425
pax6(4of4)	1522	1357.32	4.42354	0.461829
fgf22	3384	3219.32	1	0.0440179
cdk14(3of3)	461	305.414	4	1.85594
ccni2	2524	2359.32	1005.56	60.3969
polq	5318	5153.32	88	2.41985
fgf12(2of2)	4868	4703.32	212.708	6.40875
