id,qval,Log2Fold
nebl,4.75E-179,-3.938248565
pltp,3.79E-140,3.58672451
aanat(3of3),5.30E-126,-4.106044772
c22orf23,4.07E-83,5.936625486
gimap9(5of10),1.05E-82,-2.221683826
stk19,5.21E-78,2.368331732
rab3d(2of2),3.16E-75,-1.956526869
tmem184b(1of2),6.37E-63,-2.199241112
amigo3,1.93E-59,2.31303953
vdac2(3of3),1.27E-58,2.287289208
xkr7(2of2),1.15E-57,-2.788954477
ick(1of2),4.06E-57,1.877948158
cpt1a(1of4),8.21E-56,-1.657771039
marc1,1.34E-47,2.17291646
dph7,1.67E-47,2.028010445
draxin,8.17E-45,2.831937848
kalrn(2of2),2.88E-44,2.604725788
c16orf45(1of2),4.42E-39,-1.383102928
LOC107372956,9.99E-38,-1.757338194
prdx4,6.91E-35,1.522277892
gga2(1of2),8.95E-35,3.072793344
gprc5b(2of2),1.25E-34,-1.744085252
gimap7(3of11),7.00E-31,-3.715725812
wbp11,1.22E-30,-1.344927301
pld1(1of2),1.36E-30,-1.881968421
krtcap3(1of2),1.45E-30,1.415349798
pdha1(2of2),4.69E-28,1.646194738
aldh16a1,1.25E-27,1.249008266
dalrd3,2.42E-27,-1.44044402
dis3,1.31E-25,-1.133414079
ckm(2of2),5.03E-25,-1.288457936
ankk1(2of2),1.08E-24,3.747256043
kif5c(2of2),6.70E-24,-1.884272646
ppp6c(1of2),7.51E-24,-2.44608722
gstcd,4.27E-23,1.643816284
LOC107372488,2.19E-22,-3.712476139
xrcc4(2of2),2.71E-22,1.117131342
sh2d5,1.08E-21,1.485737651
lmo7(2of2),1.36E-21,-1.47583374
apbb1ip(1of2),1.67E-21,2.23079251
lrrc31,2.85E-21,1.526922301
LOC107373196,5.88E-21,-1.16484593
kcmf1(1of2),7.20E-21,1.1315869
LOC107391470,1.46E-20,2.336577384
matr3(3of4),2.14E-20,-0.979001798
taf6l,1.03E-19,1.288360812
rgs9(1of2),2.65E-18,2.964887599
ubac2,3.07E-18,0.975750019
rab35(1of2),3.78E-18,2.067938474
casr(50of74),6.23E-18,0.990052945
atg14,4.29E-17,0.888358736
msl2(1of2),1.17E-16,-1.338153788
clstn2(2of3),1.52E-16,1.721863049
kif23(2of2),1.94E-16,-1.843276194
kmt5a,3.25E-16,-0.936417026
rrnad1,3.29E-15,0.916083484
dnai1(2of2),4.16E-15,2.556818339
slc9a5,6.39E-15,1.871889195
pdgfa(1of2),6.58E-15,-1.295340428
c10orf11,1.07E-14,1.855439873
carhsp1,1.23E-14,-0.816889458
tmx1,1.82E-14,0.911376494
znf235(48of148),2.06E-14,1.389238188
bax(1of4),2.22E-14,1.502728069
LOC107394691,3.60E-14,1.320072654
tyro3(1of2),5.16E-14,-0.871289484
nop2(2of2),5.90E-14,3.785737701
ror2,1.23E-13,-1.256361199
plbd2,1.57E-13,0.887620689
sirt3(1of2),1.80E-13,-1.037024764
spock3,1.81E-13,-0.780784981
fabp6(3of4),1.92E-13,2.366938877
mastl,2.95E-13,-1.058605657
lrrc34,3.30E-13,-1.855833497
nup54(1of2),3.70E-13,2.85029917
sardh,4.12E-13,-1.056634401
csrnp2(1of2),4.37E-13,1.414980676
fam107b(1of3),7.10E-13,1.017944801
gpat3(1of2),7.90E-13,1.367160859
zfp319(1of2),9.45E-13,-1.10998958
poldip3,1.67E-12,0.777454229
l2hgdh,1.71E-12,0.742088891
rap1b(3of3),1.79E-12,0.764712899
paox(1of2),2.98E-12,-1.095758951
lin7b,3.81E-12,-1.246463695
plekha7(3of3),4.50E-12,-1.221821625
ick(2of2),4.62E-12,1.531778429
r3hdm1(2of2),4.75E-12,-0.907290392
plekhg5,6.55E-12,-0.927818738
caskin1(1of5),8.57E-12,-1.004976464
pcsk2,8.99E-12,1.426193997
alpl,9.15E-12,1.181874299
znf862(5of6),1.04E-11,-1.351263035
map6(3of5),1.31E-11,-1.020674772
ppp3ca(5of5),1.42E-11,-1.341953502
mkrn2(1of2),2.51E-11,1.1871326
stc2,2.57E-11,0.909697223
rasgef1b(2of2),3.21E-11,-1.974138346
mybl2(1of2),3.45E-11,1.301467498
pcgf5,4.02E-11,0.71887657
ssr1(1of2),4.23E-11,0.704257623
hdhd2,4.24E-11,1.804673857
mast1(1of2),4.38E-11,-1.137249612
rhbdd1,4.70E-11,-0.81363418
cckar(1of3),5.45E-11,-0.986834078
LOC107376299,1.10E-10,-1.207271894
ypel3,1.12E-10,0.730529331
LOC107381940,1.17E-10,-1.001167078
cnih1,1.19E-10,1.050214531
fbp1(1of2),1.45E-10,0.990223976
acbd5(2of2),1.68E-10,-1.099603109
alox5(2of2),1.77E-10,-1.480958973
rnf182(1of5),1.99E-10,-1.701328045
ebp,2.05E-10,0.788512435
fkbp15,2.15E-10,-0.823573908
cbx7(1of2),2.50E-10,0.678931378
nae1,2.51E-10,-1.017476296
lrch4,3.68E-10,-0.769062485
gmcl1,4.62E-10,0.925531498
slc5a7(3of3),4.76E-10,-1.316469162
LOC107375852,4.87E-10,0.881192728
dclk3(2of3),5.83E-10,-1.74039391
cyp2j2(4of13),6.59E-10,0.881487722
slc27a2(3of3),7.37E-10,-0.650857087
