target_id	length	eff_length	est_counts	tpm
col11a2	1086	960.22	271	23.801
runx2(2of2)	837	711.293	3	0.355689
gtf2ird2(3of3)	574	448.653	5	0.939846
mt_nd4	1381	1255.22	13291.7	893.011
mt_co1	1545	1419.22	41150	2445.22
hoxb9(2of2)	827	701.293	338	40.6457
mt_nd2	1036	910.22	5553	514.492
mt_cyb	1137	1011.22	12618.4	1052.34
mt_nd1	975	849.22	8682	862.178
sox11(2of2)	1139	1013.22	12	0.998792
mt_co2	691	565.414	15198.3	2266.87
mt_nd5	1842	1716.22	7508.2	368.944
zmym1(14of14)	1113	987.22	2	0.170849
sphk1(2of3)	500	375.627	1	0.224513
smdt1(2of2)	762	636.293	1050	139.165
smc6(2of2)	699	573.414	2	0.294144
sebox(2of2)	714	588.414	4	0.57329
rpl38	332	213.528	10887	4299.82
ppp1r3a(4of4)	255	144.667	600	349.767
poln	753	627.293	36	4.83983
pla2r1(3of3)	765	639.293	2	0.263832
pde4d(3of3)	1495	1369.22	18	1.10866
pcsk7(2of2)	317	199.797	0	0
nlrc3(24of24)	662	536.414	0	0
necab1(4of4)	232	125.495	27	18.144
mt_nd6	519	394.281	2351	502.856
mt_nd4l	297	181.594	681	316.258
mt_nd3	349	229.13	683	251.384
mt_co3	784	658.293	14541	1862.83
mt_atp8	168	76.8537	414	454.29
mt_atp6	683	557.414	6558	992.182
mfap4(4of4)	611	485.463	4	0.694866
klhl38(2of2)	1450	1324.22	8	0.50948
ins	573	447.653	10	1.88389
hoxa2b	627	501.414	28	4.70933
gtf2ird2(2of3)	890	764.22	80	8.82814
fzd3(4of4)	369	247.988	12	4.08082
fgfbp1(3of3)	1392	1266.22	14	0.93243
fgf11(2of2)	483	358.995	0	0
elovl4(6of6)	471	347.24	5	1.21433
deptor(3of3)	384	262.142	4	1.28683
cdkn1c(2of2)	213	110.743	2	1.52304
adh5(4of4)	1537	1411.22	8	0.478071
a2ml1(4of4)	1662	1536.22	8	0.439171
glipr2(2of2)	687	561.414	44	6.60948
pax6(4of4)	1522	1396.22	7.6727	0.463438
fgf22	3384	3258.22	0	0
cdk14(3of3)	461	337.344	0	0
ccni2	2524	2398.22	2726.36	95.8721
polq	5318	5192.22	168	2.72869
fgf12(2of2)	4868	4742.22	302.834	5.38543
vps52	3162	3036.22	305	8.47157
rps29	345	225.43	4536	1696.91
cfap46(1of2)	3396	3270.22	155.855	4.01921
sash1(2of2)	7689	7563.22	613.182	6.83722
pla2g1b(3of3)	2329	2203.22	6	0.229663
krt222	2245	2119.22	26	1.03465
pdp1(3of3)	2695	2569.22	8	0.262595
mtus2(2of2)	2679	2553.22	11	0.363331
mtf2(2of2)	2345	2219.22	875.772	33.2804
lin37	1710	1584.22	697	37.1035
cfap46(2of2)	2985	2859.22	23.1452	0.68267
phf14	3730	3604.22	1631	38.1628
chd3(2of2)	8348	8222.22	58	0.59489
slc7a3	4392	4266.22	170	3.36049
nkx1_2	988	862.22	0	0
ghsr(4of4)	2292	2166.22	5.00262	0.194757
cdhr5(3of3)	3497	3371.22	88.1683	2.20558
kdm2a(3of3)	3877	3751.22	194.794	4.37926
fgf20(2of2)	1818	1692.22	19	0.946879
fgf4	924	798.22	6	0.633908
cdh23(2of3)	6397	6271.22	51	0.685829
cdh23(3of3)	5108	4982.22	21	0.355463
ppp2r2b	3395	3269.22	293	7.55824
kdm6b(2of2)	8093	7967.22	1523	16.1209
sphk1(3of3)	4203	4077.22	162.315	3.35731
sirt1	2233	2107.22	15	0.600315
fgf3	1999	1873.22	18	0.810366
rps11	604	478.56	14157	2494.78
myo19	3063	2937.22	16	0.459389
fgf17	720	594.414	49	6.95192
rpl13	948	822.22	29568	3032.71
lect1(2of2)	1771	1645.22	5	0.256297
rnaseh2a(1of2)	879	753.22	107	11.9801
rnaseh2a(2of2)	1087	961.22	242.497	21.2756
rpl32	525	400.242	21908	4616.13
creb1(5of5)	1396	1270.22	44	2.92127
prkab1(2of2)	1730	1604.22	1684	88.527
slc1a2(3of3)	3930	3804.22	15	0.332524
gabrb3(3of3)	1853	1727.22	11	0.537084
c12orf65	699	573.414	323	47.5042
setd1b(3of3)	7551	7425.22	268.799	3.05292
prdm2(2of2)	6595	6469.22	1140.43	14.8667
hoxa7	996	870.22	415.395	40.2559
trpc7(1of2)	3233	3107.22	19	0.515679
xcr1(2of4)	1090	964.22	2	0.174925
cep112	3057	2931.22	108	3.10723
idh2(2of2)	1777	1651.22	595	30.3885
grb7	2726	2600.22	134	4.34602
ttc30a1	1814	1688.22	150	7.49307
ppp1r13b(1of2)	4651	4525.22	276	5.1436
