target_id	length	eff_length	est_counts	tpm
col11a2	1086	877.921	139	9.90837
runx2(2of2)	837	629.122	0	0
gtf2ird2(3of3)	574	367.76	0	0
mt_nd4	1381	1172.92	1153	61.5182
mt_co1	1545	1336.92	49345	2309.83
hoxb9(2of2)	827	619.122	101	10.2091
mt_nd2	1036	827.921	62	4.68647
mt_cyb	1137	928.921	858.876	57.8621
mt_nd1	975	766.921	86	7.01763
sox11(2of2)	1139	930.921	2	0.13445
mt_co2	691	483.455	8763	1134.33
mt_nd5	1842	1633.92	514	19.6868
zmym1(14of14)	1113	904.921	0	0
sphk1(2of3)	500	295.926	12	2.53771
smdt1(2of2)	762	554.296	129	14.5644
smc6(2of2)	699	491.455	0	0
sebox(2of2)	714	506.455	0	0
rpl38	332	143.267	5999	2620.45
ppp1r3a(4of4)	255	84.2726	283	210.157
poln	753	545.35	2	0.229508
pla2r1(3of3)	765	557.296	1	0.112294
pde4d(3of3)	1495	1286.92	44	2.13966
pcsk7(2of2)	317	130.964	0	0
nlrc3(24of24)	662	454.547	0	0
necab1(4of4)	232	69.0566	10	9.06229
mt_nd6	519	314.123	1104	219.944
mt_nd4l	297	115.127	1078	585.981
mt_nd3	349	157.65	62	24.6116
mt_co3	784	576.239	2485	269.878
mt_atp8	168	34.5857	6	10.8567
mt_atp6	683	475.455	151	19.8752
mfap4(4of4)	611	404.103	0	0
klhl38(2of2)	1450	1241.92	19	0.95742
ins	573	366.871	6	1.02348
hoxa2b	627	419.938	49	7.30221
gtf2ird2(2of3)	890	681.99	62	5.68927
fzd3(4of4)	369	174.856	26	9.30543
fgfbp1(3of3)	1392	1183.92	32	1.69149
fgf11(2of2)	483	279.594	0	0
elovl4(6of6)	471	268.12	0	0
deptor(3of3)	384	188.195	0	0
cdkn1c(2of2)	213	57.2024	3	3.28209
adh5(4of4)	1537	1328.92	45	2.11912
a2ml1(4of4)	1662	1453.92	0	0
glipr2(2of2)	687	479.455	53	6.91786
pax6(4of4)	1522	1313.92	16	0.762068
fgf22	3384	3175.92	6	0.118229
cdk14(3of3)	461	258.656	4	0.96779
ccni2	2524	2315.92	1047.93	28.3173
polq	5318	5109.92	181	2.2167
fgf12(2of2)	4868	4659.92	547.049	7.34667
vps52	3162	2953.92	990	20.9739
rps29	345	154.321	12650	5129.89
cfap46(1of2)	3396	3187.92	51	1.00116
sash1(2of2)	7689	7480.92	468	3.91502
pla2g1b(3of3)	2329	2120.92	0	0
krt222	2245	2036.92	56	1.72051
pdp1(3of3)	2695	2486.92	0	0
mtus2(2of2)	2679	2470.92	16	0.405232
mtf2(2of2)	2345	2136.92	669.226	19.5987
lin37	1710	1501.92	702	29.2505
cfap46(2of2)	2985	2776.92	66	1.48739
phf14	3730	3521.92	2183	38.7898
chd3(2of2)	8348	8139.92	29	0.222957
slc7a3	4392	4183.92	132	1.97439
nkx1_2	988	779.921	0	0
ghsr(4of4)	2292	2083.92	0	0
cdhr5(3of3)	3497	3288.92	28.0755	0.534217
kdm2a(3of3)	3877	3668.92	821.146	14.0064
fgf20(2of2)	1818	1609.92	25	0.971803
fgf4	924	715.921	0	0
cdh23(2of3)	6397	6188.92	70	0.707825
cdh23(3of3)	5108	4899.92	7	0.089403
ppp2r2b	3395	3186.92	242	4.75212
kdm6b(2of2)	8093	7884.92	1438	11.4131
sphk1(3of3)	4203	3994.92	54.2931	0.85051
sirt1	2233	2024.92	185	5.71751
fgf3	1999	1790.92	17	0.59404
rps11	604	397.223	30003	4726.87
myo19	3063	2854.92	23	0.50417
fgf17	720	512.404	21	2.56478
rpl13	948	739.921	50820	4298.26
lect1(2of2)	1771	1562.92	0	0
rnaseh2a(1of2)	879	671.058	125	11.6572
rnaseh2a(2of2)	1087	878.921	146.713	10.4463
rpl32	525	319.867	24237	4741.9
creb1(5of5)	1396	1187.92	107	5.63689
prkab1(2of2)	1730	1521.92	2022	83.1442
slc1a2(3of3)	3930	3721.92	22	0.369912
gabrb3(3of3)	1853	1644.92	0	0
c12orf65	699	491.455	184	23.4303
setd1b(3of3)	7551	7342.92	232	1.97725
prdm2(2of2)	6595	6386.92	1067	10.4548
hoxa7	996	787.921	254	20.1741
trpc7(1of2)	3233	3024.92	16	0.331016
xcr1(2of4)	1090	881.921	0	0
cep112	3057	2848.92	411	9.02827
idh2(2of2)	1777	1568.92	4027	160.629
grb7	2726	2517.92	180	4.47377
ttc30a1	1814	1605.92	135	5.26081
ppp1r13b(1of2)	4651	4442.92	377	5.31026
bcl9l(1of2)	5353	5144.92	258.705	3.1468
hipk2(5of6)	4244	4035.92	4	0.0620241
bloc1s4	1673	1464.92	254	10.8508
bphl	1251	1042.92	86	5.16048
fam184a(1of2)	4461	4252.92	190	2.79582
zfp330	1254	1045.92	631	37.7549
gfra1(5of7)	2172	1963.92	22	0.701038
st6galnac6	2249	2040.92	749	22.9667
chrnb1(2of2)	2987	2778.92	146	3.28791
cldn19(2of4)	1795	1586.92	0	0
pnp(3of5)	1943	1734.92	22	0.793571
cops4	1687	1478.92	1247	52.7672
LOC107372748	1209	1000.92	840	52.5197
gale	1368	1159.92	151	8.14688
lcp2(1of2)	1717	1508.92	10	0.414741
acaa2	1760	1551.92	385	15.5251
exosc9	1497	1288.92	1042	50.5923
wdr73	2271	2062.92	299	9.07051
chrna4	2777	2568.92	12.3837	0.301677
prpf39(1of2)	3001	2792.92	1441	32.2885
zcchc8	2425	2216.92	204	5.75868
anapc15	1978	1769.92	122	4.31369
csf1r(2of2)	4048	3839.92	66	1.07563
capsl	951	742.921	37	3.11675
rpusd4	1375	1166.92	151	8.09801
hist1h1b(1of6)	1338	1129.92	1138.9	63.0786
tmem100(1of2)	1399	1190.92	66	3.4682
trerf1(1of2)	1993	1784.92	4	0.140244
msh6	5452	5243.92	442	5.27484
znf235(31of148)	2101	1892.92	89.3598	2.95429
fam83h(1of2)	7544	7335.92	550	4.69193
pcdh1(2of2)	4943	4734.92	8	0.105735
lsamp	1957	1748.92	64.4429	2.30594
huwe1	14690	14481.9	6173	26.6755
tapbp	1820	1611.92	23	0.89295
ccdc90b	1162	953.921	512	33.5893
txn2	931	722.921	430	37.2238
LOC107396618	1471	1262.92	0	0
zscan22(1of6)	1284	1075.92	678.035	39.438
tmem229a	3057	2848.92	13	0.285566
tnfaip8l3	1407	1198.92	11	0.574176
trim33(2of2)	4263	4054.92	906	13.9826
tnmd	1121	912.921	12	0.822604
sgms2(1of2)	1664	1455.92	35	1.50443
c11orf31	669	461.501	12	1.62724
hspd1	2406	2197.92	6603	188.006
plaa	2629	2420.92	104	2.68841
cers5(2of2)	1769	1560.92	67	2.68619
cxorf21	3671	3462.92	14	0.253005
ier3ip1(1of2)	618	411.021	204	31.0606
htr3a(4of11)	1953	1744.92	0	0
rnd2(2of2)	1666	1457.92	217	9.3147
lcmt2	2407	2198.92	315	8.96487
serpini1	1617	1408.92	360	15.9904
LOC107383633	1566	1357.92	0	0
csmd3(7of9)	3906	3697.92	339	5.737
rab27b(2of2)	3663	3454.92	103	1.8657
jag2(2of2)	5861	5652.92	1788	19.7942
zbtb39	4003	3794.92	86	1.4182
brd7	2004	1795.92	272	9.47817
LOC107372370	2401	2192.92	274	7.81935
schip1(2of3)	1727	1518.92	12	0.494412
nqo1(2of6)	992	783.921	25.5225	2.03748
ppil3	1088	879.921	305	21.692
prr16(1of2)	2696	2487.92	17	0.427617
LOC107395317	549	343.372	0	0
LOC107382444	1404	1195.92	0	0
fpgs	2926	2717.92	594	13.6771
lrriq1	4375	4166.92	41	0.61576
cetn3	1119	910.921	269	18.4805
rab1a(3of3)	1747	1538.92	409	16.6322
c1orf112	3098	2889.92	84	1.81902
znf721(2of2)	2452	2243.92	644.307	17.9692
cdh18	3633	3424.92	8.80919	0.160964
runx1t1	5292	5083.92	120.026	1.47748
kiaa1324l(3of3)	4699	4490.92	129	1.79762
glrx2	1214	1005.92	58	3.60834
irf8(2of2)	2087	1878.92	3	0.0999208
ankrd63(2of2)	2030	1821.92	0	0
arhgap44(2of2)	4675	4466.92	15	0.210148
nol10	2488	2279.92	252	6.9171
gipc1(2of2)	2508	2299.92	109.205	2.97147
nlrx1(1of2)	905	696.921	61	5.47759
scarb2(2of3)	3460	3251.92	1463	28.1545
atg9a(1of2)	6178	5969.92	642	6.72991
pvr(2of2)	2161	1952.92	29.4304	0.943093
cadm2(1of3)	3162	2953.92	23	0.487273
mmadhc(2of2)	2764	2555.92	359	8.79002
ogdh(2of2)	4412	4203.92	1516	22.5677
ehbp1l1	8981	8772.92	209.122	1.49176
zdhhc8(3of3)	3023	2814.92	0	0
tra2b(1of2)	1477	1268.92	321	15.8312
LOC107378154	1251	1042.92	0	0
myl1(1of2)	1209	1000.92	582	36.3887
plod1	3306	3097.92	2357	47.6137
ces1	2591	2382.92	66	1.73331
wfdc3(5of7)	678	470.455	0	0
