chr	start	end	id
chr1	1	879	col11a2
chr1	890	1519	runx2(2of2)
chr1	2419	2787	gtf2ird2(3of3)
chr1	5216	6389	mt_nd4
chr1	11615	12952	mt_co1
chr1	24577	25196	hoxb9(2of2)
chr1	49783	50611	mt_nd2
chr1	100404	101333	mt_cyb
chr1	201747	202514	mt_nd1
chr1	404271	405202	sox11(2of2)
chr1	809483	809966	mt_co2
chr1	1619459	1621093	mt_nd5
chr1	3240562	3241467	zmym1(14of14)
chr1	6482039	6482335	sphk1(2of3)
chr1	12964384	12964938	smdt1(2of2)
chr1	25929332	25929823	smc6(2of2)
chr1	51859165	51859671	sebox(2of2)
chr1	103718846	103718989	rpl38
chr1	207437845	207437929	ppp1r3a(4of4)
chr1	414875784	414876329	poln
chr1	829752123	829752680	pla2r1(3of3)
chr1	1659504813	1659506100	pde4d(3of3)
chr1	3319010923	3319011054	pcsk7(2of2)
chr1	6638021987	6638022442	nlrc3(24of24)
chr1	13276044439	13276044508	necab1(4of4)
chr1	26552088957	26552089271	mt_nd6
chr1	53104178238	53104178353	mt_nd4l
chr1	106208356601	106208356759	mt_nd3
chr1	212416713370	212416713946	mt_co3
chr1	424833427326	424833427361	mt_atp8
chr1	849666854697	849666855172	mt_atp6
chr1	1699333709879	1699333710283	mfap4(4of4)
chr1	3398667420172	3398667421414	klhl38(2of2)
chr1	6797334841596	6797334841963	ins
chr1	13594669683569	13594669683989	hoxa2b
chr1	27189339367568	27189339368250	gtf2ird2(2of3)
chr1	54378678735828	54378678736003	fzd3(4of4)
chr1	108757357471841	108757357473025	fgfbp1(3of3)
chr1	217514714944876	217514714945156	fgf11(2of2)
chr1	435029429890042	435029429890310	elovl4(6of6)
chr1	870058859780362	870058859780550	deptor(3of3)
chr1	1740117719560922	1740117719560979	cdkn1c(2of2)
chr1	3480235439121911	3480235439123240	adh5(4of4)
chr1	6960470878245161	6960470878246615	a2ml1(4of4)
chr1	13920941756491786	13920941756492265	glipr2(2of2)
chr1	27841883512984061	27841883512985375	pax6(4of4)
chr1	55683767025969446	55683767025972622	fgf22
chr1	111367534051942078	111367534051942337	cdk14(3of3)
chr1	222735068103884425	222735068103886741	ccni2
chr1	445470136207771176	445470136207776286	polq
chr1	890940272415547472	890940272415552132	fgf12(2of2)
chr1	1781880544831099614	1781880544831102568	vps52
chr1	3563761089662202192	3563761089662202346	rps29
chr1	7127522179324404548	7127522179324407736	cfap46(1of2)
chr1	14255044358648812294	14255044358648819775	sash1(2of2)
chr1	28510088717297632079	28510088717297634200	pla2g1b(3of3)
chr1	57020177434595266289	57020177434595268326	krt222
